Fecha;Circulante en Entidades;Circulante en Público;Cta. Cte. en BCRA
2019-01-02;120251;739749;525096
2019-01-03;122374;737171;494590
2019-01-04;121546;737533;486492
2019-01-07;116812;741104;475785
2019-01-08;118273;738446;486048
2019-01-09;119087;735525;464551
2019-01-10;118669;733444;469383
2019-01-11;119558;729852;463033
2019-01-14;120332;725844;491444
2019-01-15;123014;719204;498718
2019-01-16;123801;714629;496311
2019-01-17;122471;711199;507225
2019-01-18;120447;708877;485066
2019-01-21;117540;707097;500089
2019-01-22;118372;702362;521675
2019-01-23;117550;698965;537485
2019-01-24;114808;698509;549852
2019-01-25;112574;697941;556804
2019-01-28;112301;696621;557902
2019-01-29;113194;694264;581921
2019-01-30;111716;694608;574878
2019-01-31;110947;696163;545695
2019-02-01;107821;701019;632618
2019-02-04;103627;706989;598043
2019-02-05;104723;706524;571039
2019-02-06;103652;709091;558165
2019-02-07;101644;711990;525679
2019-02-08;100163;714481;513040
2019-02-11;101122;713232;502069
2019-02-12;106007;706651;502894
2019-02-13;108527;701735;482732
2019-02-14;108710;699169;486031
2019-02-15;109130;696685;491917
2019-02-18;109097;694052;497497
2019-02-19;111793;688942;511430
2019-02-20;112210;686086;502633
2019-02-21;111457;684929;502425
2019-02-22;108519;686054;520541
2019-02-25;108977;684783,9;557334,9
2019-02-26;113194;682989;577344
2019-02-27;116540;684540;603074
2019-02-28;116752;689356,8;596971,8
2019-03-01;115855;696328;591409
2019-03-06;110274;705486;551134
2019-03-07;112150;705639;487901
2019-03-08;106854;709906;470295
2019-03-11;103236;712776;438865
2019-03-12;106484;708387;442239
2019-03-13;107749;704897,4;446405
2019-03-14;108641;702135;471557
2019-03-15;107485;700851;477204
2019-03-18;108662;697098;476863
2019-03-19;110545;692524;472126
2019-03-20;109895;690434,5;469315,9
2019-03-21;106754;690738,7;486094,8
2019-03-22;104291;691060;488776
2019-03-25;103955;690597;497857
2019-03-26;106824;688240;520151
2019-03-27;110114;688338;528599
2019-03-28;110410;690979;530287
2019-03-29;106625;698370;546526
2019-04-01;101571;706572;554020
2019-04-03;103744;708837;537067
2019-04-04;104767;710514;531754
2019-04-05;99229;716908;502554
2019-04-08;93727;723513;471714
2019-04-09;98105;719982;471590
2019-04-10;100698;717463;475591
2019-04-11;103505;714740;483806
2019-04-12;105651;712313;502696
2019-04-15;110210;709722;497368
2019-04-16;118013;704575;485561
2019-04-17;116964;704516;440617
2019-04-22;120198;698893;449296
2019-04-23;122879;692678;472316
2019-04-24;121824;691392;504805
2019-04-25;120602;691405;541203
2019-04-26;120335;694188;603796
2019-04-29;118145;699712;592060
2019-04-30;114683;703273;584963
2019-05-02;110085;711609;575549
2019-05-03;107003;716589;571936
2019-05-06;102108;724305;546219
2019-05-07;102883;725414;543640
2019-05-08;99909;728867;498789
2019-05-09;99549;730983;474141
2019-05-10;100569;731472;455367
2019-05-13;102603;728928;477726
2019-05-14;108064;722593;502172
2019-05-15;110924;717560;521041
2019-05-16;109764;716470;520895
2019-05-17;107529;716176;527436
2019-05-20;107474;713943;516849
2019-05-21;108865;709777;501818
2019-05-22;107783;708640;515349
2019-05-23;105139;709877;530156
2019-05-24;103101;711509;500375
2019-05-27;103732;713093;516883
2019-05-28;107943;713424;520053
2019-05-29;107537;713830;524422
2019-05-30;106453;715457;523949
2019-05-31;106481;717862;532109
2019-06-03;102254;726607;576139
2019-06-04;103388;729239;558175
2019-06-05;101583;734125;512568
2019-06-06;99124;740367;447299
2019-06-07;95715;748123;451229
2019-06-10;95694;752840;451689
2019-06-11;102392;747333;452941
2019-06-12;105514;744771;474465
2019-06-13;108224;743364;468220
2019-06-14;107558;745025;470339
2019-06-18;109528;744598;488287
