Fecha;Cta. Cte. en BCRA;Circulante;<NA>
2003-12-02;1173170,26042911;2025938,15955262;3261334,88375652
2004-01-02;1254135,73030277;2043092,82664507;3298796,36635801
2004-02-02;1258879,54873465;2028175,80595372;3287334,7863857
2004-03-01;1066873,84448398;2039155,84295095;3106071,92009773
2004-04-01;1160091,11553332;2032516,33375962;3192607,44929295
2004-05-03;1168723,14560294;2059595,08403863;3228318,22964157
2004-06-01;1174529,92765456;2099359,06359761;3273888,99125218
2004-07-01;977322,182102353;2180972,85110836;3158295,03321071
2004-08-02;976984,04378892;2172397,32345625;3149381,36724517
2004-09-01;965988,277590729;2152110,91211197;3118099,18970269
2004-10-01;964256,921790996;2148627,1014643;3112884,02325529
2004-11-01;981093,240250587;2172762,87628969;3153856,11654028
2004-12-01;975223,819932914;2387471,93187118;3362695,75180409
2005-01-03;892693,394655217;2377363,14780439;3270056,54245961
2005-02-01;882660,677215921;2319058,3198471;3201718,99706302
2005-03-01;864784,466894767;2316198,22691533;3180982,6938101
2005-04-01;846363,748503447;2324940,8184194;3171304,56692285
2005-05-02;858121,905017999;2361459,42533053;3219581,33034853
2005-06-01;807677,132405247;2419995,55184542;3227672,68425066
2005-07-01;849247,137951744;2523228,39943851;3372475,53739025
2005-08-01;806395,629751493;2535890,04681923;3342285,67657072
2005-09-01;705900,4762269;2530275,43658985;3236175,91281675
2005-10-03;775463,572051883;2565624,93815046;3341088,51020234
2005-11-01;757953,516957983;2581026,16113557;3338979,67809355
2005-12-01;576260,211736136;2725756,14364441;3302016,35538054
2006-01-02;710557,990355369;2746159,03236812;3456717,02272349
2006-02-01;683454,7031988;2706620,69586278;3390075,39906158
2006-03-01;681959,196005097;2676162,09260189;3358121,28860699
2006-04-03;741749,108860592;2688056,58388447;3429805,69274506
2006-05-02;776547,530030958;2690842,4619225;3467389,99195346
2006-06-01;792543,541790918;2746773,86042067;3539317,40221159
2006-07-03;812247,758827666;2851277,58728503;3663525,3461127
2006-08-01;916031,926510526;2840647,51773402;3756679,44424455
2006-09-01;1018076,98174749;2820239,65917583;3838316,64092333
2006-10-02;1014619,41785663;2833411,25592535;3848030,67378198
2006-11-01;1064521,50824688;2840904,30809795;3905425,81634482
2006-12-01;1113104,962675;3017873,77677734;4130978,73945233
2007-01-02;1082202,79168952;3037834,56344228;4120037,3551318
2007-02-01;1026594,47093259;2999046,33821187;4025640,80914446
2007-03-01;1044491,73612265;2995408,22744089;4039899,96356354
2007-04-03;1063937,30831044;2982874,51804873;4046811,82635917
2007-05-02;1074393,86749286;2970954,11222359;4045347,97971645
2007-06-01;1084922,22051156;3016820,29714771;4101742,51765927
2007-07-02;1097632,25187447;3121724,1281584;4219356,38003287
2007-08-01;1079085,26740637;3054076,69287612;4133161,96028249
2007-09-03;1064045,33156114;2975873,55888338;4039918,89044452
2007-10-01;1024308,09507391;2944152,86822595;3968460,96329987
2007-11-01;1067096,48309052;2933631,55986482;4000728,04295534
2007-12-03;1152751,2161361;3096931,43927427;4249682,65541037
2008-01-02;1117506,71817154;3113615,38038188;4231122,09855342
2008-02-01;1035855,75379077;3009567,45684995;4045423,21064274
2008-03-03;1050806,07004343;2944787,10787623;3995593,17791966
2008-04-01;1032942,83803178;2862519,10406132;3895461,94209311
2008-05-02;1023054,79631902;2852299,12940636;3875353,92572538
2008-06-02;1045735,25604188;2836266,34958805;3882001,60562993
2008-07-01;970354,412169257;2842462,53390158;3812816,94607084
2008-08-01;977308,463179379;2782907,00033845;3760215,46351783
2008-09-01;1018537,52614231;2729811,80918942;3748349,33533172
2008-10-01;1026814,58213827;2713562,10688072;3740376,689019
2008-11-03;960907,950248593;2687657,11734945;3648565,06759804
2008-12-01;927079,342571826;2867051,49413145;3794130,83670328
2009-01-02;849673,402465846;2854127,26560812;3703800,66807396
2009-02-02;831095,435370423;2770680,37447614;3601775,80984656
2009-03-02;834896,587989494;2668036,6833525;3502933,271342
2009-04-01;796501,53070231;2596625,11912475;3393126,64982706
2009-05-04;819203,681598212;2606405,97237693;3425609,65397514
2009-06-01;817181,632456859;2679388,99342017;3496570,62587703
2009-07-01;770374,24279634;2758399,88714945;3528774,12994579
2009-08-03;780549,169113817;2696343,79041188;3476892,9595257
2009-09-01;798913,659161737;2662679,6529433;3461593,31210504
2009-10-01;790561,111198047;2644564,16567483;3435125,27687287
2009-11-02;808937,274137434;2659651,17333587;3468588,4474733
2009-12-01;809622,535414319;2869007,67216555;3678630,20757986
2010-01-04;788742,474235109;2885895,46209754;3674637,93633265
2010-02-01;740774,325116789;2736091,48969348;3476865,81481027
2010-03-01;766669,147992094;2660666,38106891;3427335,529061
2010-04-05;776841,716151582;2592686,35750998;3369528,07366156
2010-05-03;792769,60238166;2619239,68991607;3412009,29229773
2010-06-01;791915,513860685;2666742,40869037;3458657,92255106
2010-07-01;823255,964324846;2778152,09838109;3601408,06270594
2010-08-02;816849,819175334;2776955,00012749;3593804,81930282
2010-09-01;826840,073125143;2767710,43496416;3594550,5080893
2010-10-01;795414,377843085;2796375,61339385;3591789,99123693
2010-11-01;806723,047609571;2796925,95059815;3603648,99820772
2010-12-01;883874,263490891;2928811,30286673;3812685,56635762
2011-01-03;869690,203981835;3054816,92622511;3924507,13020695
2011-02-01;827567,882369745;3030532,30353384;3858100,18590359
2011-03-01;824184,778960122;2982685,81342877;3806870,5923889
2011-04-01;856986,585747472;2937835,87835988;3794822,46410735
2011-05-02;894592,233427781;2947907,32091312;3842499,55434091
2011-06-01;875843,189735687;3032068,44270181;3907911,6324375
2011-07-01;889392,387028587;3146827,46114909;4036219,84817768
2011-08-01;882046,935177511;3148678,3679087;4030725,30308621
2011-09-01;879039,649267182;3119054,57128087;3998094,22054805
2011-10-03;882833,238752215;3082376,74362951;3965209,98238172
2011-11-01;879944,146970024;3096726,2951403;3976670,44211033
2011-12-01;904090,778993772;3294098,96564573;4198189,7446395
2012-01-03;983084,826307366;3325556,55249358;4308641,37880094
2012-02-01;772976,901089015;3256257,75111589;4029234,65220491
2012-03-01;886096,677903971;3145741,30669959;4031837,98460356
2012-04-03;910487,173855337;3100055,37297133;4010542,54682667
2012-05-02;920311,657785297;3102516,86807331;4022828,5258586
2012-06-01;953002,22514679;3242168,02225889;4195170,24740568
2012-07-02;998638,246514516;3397467,90683533;4396106,15334985
2012-08-01;1018226,62264618;3398279,86171217;4416506,48428058
2012-09-03;1023556,66627945;3389761,37498438;4413318,04126384
2012-10-01;1020301,78534894;3381810,24451841;4402112,02986735
2012-11-01;1041761,83664951;3379345,93417647;4421107,77082598
2012-12-03;1106287,73883995;3577911,07617943;4684198,81501937
2013-01-02;1048640,93790022;3610014,46128164;4658655,39918186
2013-02-01;975053,787443594;3531398,10117675;4506451,88862034
2013-03-01;1030331,70214455;3471883,81923141;4502215,52137597
2013-04-03;1035939,05971925;3394557,99789541;4430497,05761466
2013-05-02;1049647,25057805;3371326,23065545;4420973,4812335
2013-06-03;1053505,28273306;3430013,48139362;4483517,96414013
2013-07-01;1033070,74254036;3505009,85918019;4538080,60172056
2013-08-01;1023769,40022215;3489260,32791142;4513029,72813357
2013-09-02;1024885,95046478;3450023,28235517;4474915,69188581
2013-10-01;1016707,89589893;3425403,84714044;4442111,74303937
2013-11-01;1004528,98434311;3372433,82937201;4376962,81371512
2013-12-02;1081977,85639291;3475277,25412457;4557321,47718198
2014-01-02;1060625,87377744;3389837,92794214;4450463,80171958
2014-02-03;846426,987027054;3127207,55233502;3973634,53936207
2014-03-05;920215,336397336;2977254,81197152;3897470,14836886
2014-04-01;908909,848079597;2905420,99338435;3814330,84146395
2014-05-05;913723,997215703;2809950,35195657;3723674,34917227
2014-06-02;920738,408416956;2864248,60000428;3784987,00842124
