Fecha;Compras de divisas;Otros;Pases y Leliq;Financiamiento del Tesoro;Intereses;Total
2022-01-17;0,05;389,823163519992;121909,90765494;1621,01376932;3691,20541222;127612
2022-01-18;-5164,995;372,648898400046;-54057,91470659;2071,86113863002;14890,39966956;-41888
2022-01-19;-11591,1835;456,423703590048;-63849,75522662;1833,25628876002;17033,25873427;-56118
2022-01-20;-15429,8215;-2758,08118942996;-106725,20739327;3714,81254059002;23332,29754211;-97866
2022-01-21;-14439,7065;-2839,70612549005;-108723,9164134;3812,59156345002;25378,13747544;-96812,6000000001
2022-01-24;-10415,8665;-2889,88931323996;-3365,90326846999;3606,07488568002;27718,58419603;14653
2022-01-25;-10415,8165;-5856,54213674996;-60544,92622991;3343,40688614002;38446,87798052;-35027
2022-01-26;-15544,81;-9273,26436393995;-45237,75183534;4651,08212412002;40746,74407516;-24658
2022-01-27;-27180,8142;-10489,46293543;-61892,90143876;4871,76889496002;47823,40967923;-46868
2022-01-28;-157859,2894;-11328,81368904;-9663,42643915;127071,8408498;50152,68867839;-1627
2022-01-31;-157609,0621;-12572,85110479;47038,916034;56257,96120996;53172,03596083;-13713
2022-02-01;-162758,0021;-13666,595288031;289668,653031451;56365,81603695;66618,12831963;236228
2022-02-02;-162652,8021;-16208,952482081;266579,153346451;57231,14966921;67412,45156642;212361
2022-02-03;-162409,2591;-17359,421704331;135825,610568211;57142,6625159;71310,40772022;84510
2022-02-04;-162409,2591;-18789,568441141;111832,696822971;57962,49505278;72062,63566539;60659
2022-02-07;-157431,7311;-21675,931861201;23961,051292691;67313,18751851;74382,42415;-13451
2022-02-08;-156902,8311;-23682,914376021;118520,773223671;67418,30526401;99938,66698834;105292
2022-02-09;-156902,8311;-24407,737407811;77445,2086885411;67617,97221536;100901,38760391;64654
2022-02-10;-156690,8311;-26036,4946633007;101420,239290791;67514,85122425;114994,23524826;101202
2022-02-11;-156690,8311;-26124,0059990508;139394,056920611;67571,92515295;115986,85502549;140138
2022-02-14;-148094,3737;-25389,1128737707;367140,367230501;-30823,7186709099;118864,83801418;281698
2022-02-15;-147424,4837;-26336,0993173107;367998,470601021;19566,6628751601;136008,44954113;349813
2022-02-16;-146891,6337;-26697,4003265208;278992,750010921;19607,0188000501;136758,26521555;261769
2022-02-17;-146891,6337;-26728,6853407307;185118,612689151;17103,53921762;147812,16713396;176414
2022-02-18;-146891,6337;-27304,1202870307;88981,7868290608;21192,8216303;148679,14552767;84658
2022-02-21;-147534,1437;-27894,8175057707;170675,377814021;20441,87833976;151666,70505199;167355
2022-02-22;-153920,8797;-27467,8455123507;-3315,14311360917;23548,58535411;161357,28297185;202
2022-02-23;-160466,16884;-28723,8288216007;-49317,9608686792;24442,23747231;162066,72105797;-51999
2022-02-24;-167071,34384;-31217,5728647107;35578,5327558708;23879,98130462;170577,40264422;31747
2022-02-25;-177716,84534;-33585,4558317307;3171,28201169083;64201,3121388;171171,70702124;27242
