"Fecha","Posicion","Ultimo"
"2021-02-24",2021-02-28,89.84
"2021-02-24",2021-03-31,93.07
"2021-02-24",2021-04-30,96.07
"2021-02-24",2021-05-31,99.19
"2021-02-24",2021-06-30,102.25
"2021-02-24",2021-07-31,105.28
"2021-02-24",2021-08-31,108.5
"2021-02-24",2021-09-30,111.9
"2021-02-24",2021-10-31,115.95
"2021-02-24",2021-11-30,120
"2021-02-24",2021-12-31,124.3
"2021-02-24",2022-01-31,127.8
"2021-01-29",2021-02-28,90.61
"2021-01-29",2021-03-31,94.89
"2021-01-29",2021-04-30,98.8
"2021-01-29",2021-05-31,102.77
"2021-01-29",2021-06-30,106.6
"2021-01-29",2021-07-31,110.7
"2021-01-29",2021-08-31,115
"2021-01-29",2021-09-30,119.5
"2021-01-29",2021-10-31,123.8
"2021-01-29",2021-11-30,128.2
"2021-01-29",2021-12-31,132.7
"2020-12-30",2021-02-28,92.15
"2020-12-30",2021-03-31,97.6
"2020-12-30",2021-04-30,102.4
"2020-12-30",2021-05-31,107.5
"2020-12-30",2021-06-30,112.6
"2020-12-30",2021-07-31,117.65
"2020-12-30",2021-08-31,123.15
"2020-12-30",2021-09-30,128.65
"2020-12-30",2021-10-31,133.65
"2020-12-30",2021-11-30,138.65
"2020-11-30",2021-02-28,94.85
"2020-11-30",2021-03-31,100.55
"2020-11-30",2021-04-30,106.48
"2020-11-30",2021-05-31,112.3
"2020-11-30",2021-06-30,118.2
"2020-11-30",2021-07-31,124.7
"2020-11-30",2021-08-31,130
"2020-11-30",2021-09-30,135.59
"2020-11-30",2021-10-31,141.09
"2020-11-30",2021-11-30,142
