"Fecha","Otros","Financiamiento del Tesoro","Compras de divisas","Intereses","Pases y Leliq","Total"
2021-01-04,-1556.63117441014,9307.66964435,381.576000000001,9055.32510258674,139301.019827223,156488.95939975
2021-01-05,-5174.45255326978,8638.05359986,763.026000000001,16741.9554846947,128056.375325265,149024.95785655
2021-01-06,-9686.06383151015,7326.69563407,1060.176,19588.9146279197,170473.90053779,188763.62296827
2021-01-07,-13994.6512896697,6850.094176,1315.146,25331.8330130127,194229.010522007,213731.43242135
2021-01-08,-18858.0503500703,8106.32233306,1323.557,25415.5228423207,87564.7480983595,103552.09992367
2021-01-11,-22324.2082980498,7551.31375851,18072.271,27155.6538396717,94223.9240556785,124678.95435581
2021-01-12,-25063.4799687197,8689.46077658,22537.456,35175.5297637367,89115.6160360235,130454.58260762
2021-01-13,-27220.62410698,8229.85238096,27584.546,37367.9133662857,142342.243485554,188303.93112582
2021-01-14,-28792.8897554398,9210.68005624,36687.841,43452.3561844217,100380.739776598,160938.72726182
2021-01-15,-30238.2820461098,8134.6401974,42868.774,44572.8490998577,63982.0555418425,129320.03679299
2021-01-18,-31209.7394970397,-47246.23254098,43475.513,46360.7801946446,83389.5361399555,94769.8572965804
2021-01-19,-33134.5414696198,-46739.39446774,39883.8674,56321.1431410217,83941.8324982785,100272.90710194
2021-01-20,-36200.2746316999,-46876.41202271,33891.7954,58001.9522265367,123267.750063443,132084.81103557
2021-01-21,-38480.6590131299,-46402.2192264,34956.1574,62094.0217806777,123988.503919812,136155.80486096
2021-01-22,-39881.16330908,-43267.06882596,28506.6024,63427.7871933937,138944.003210826,147730.16066918
2021-01-25,-41134.5845066799,-44779.33028035,29603.6964,65140.3641182027,143687.122406977,152517.26813815
2021-01-26,-42390.9701733897,-43828.44742185,21775.4614,73259.0721018656,121208.658076684,130023.77398331
2021-01-27,-44158.6472742497,-43411.77935151,19597.4164,74580.3315114857,86676.0083091945,93283.3295949204
2021-01-28,-45846.0209028897,-38304.80149386,19946.1014,81845.2801391117,105047.984135698,122688.54327806
2021-01-29,-46881.4815415296,-52923.367859,12975.1164,83114.6355315636,14765.2279690265,11050.1305000605
2021-02-01,-49630.3415446897,-22149.24517554,-13093.4576,84975.2989844106,134016.546948039,134118.47021575
2021-02-02,-50829.7169636199,-22759.71561708,-9892.5076,93679.0668230306,125747.089637889,135943.88488375
2021-02-03,-52467.7653252097,-23004.00511984,-8160.5826,95100.0169545816,129018.209912998,140485.54242606
2021-02-04,-54195.58978588,-22720.97356715,-4807.2076,101189.018792734,109719.708688176,129184.62513141
