"Fecha","Otros","Financiamiento del Tesoro","Pases y Leliq","Compras de divisas","Intereses","Total"
2020-12-29,-2823.47135404999,-691.757513049992,27976.4200321494,5227.13480000001,6518.1731212705,36206.4990863199
2020-12-30,-1527.16246860045,14029.94519873,-109617.61647876,13009.6948,8927.7510043405,-75177.3879442904
2021-01-04,-3083.79364301059,23337.61484308,29683.4033484629,13391.2708,17983.0761069272,81311.5714554596
2021-01-05,-6701.61502187024,22667.99879859,18438.758846505,13772.7208,25669.7064890351,73847.5699122599
2021-01-06,-11213.2263001106,21356.6408328,60856.28405903,14069.8708,28516.6656322601,113586.23502398
2021-01-07,-15521.8137582702,20880.03937473,84611.394043247,14324.8408,34259.5840173531,138554.04447706
2021-01-08,-20385.2128186707,22136.26753179,-22052.868380401,14333.2518,34343.2738466611,28374.7119793794
2021-01-11,-23851.3707666503,21581.25895724,-15393.692423082,31081.9658,36083.4048440121,49501.5664115199
2021-01-12,-26590.6424373202,22719.40597531,-20502.000442737,35547.1508,44103.2807680772,55277.19466333
2021-01-13,-28747.7865755804,22259.79757969,32724.627006794,40594.2408,46295.6643706261,113126.54318153
2021-01-14,-30320.0522240402,23240.62525497,-9236.87670216203,49697.5358,52380.1071887621,85761.3393175299
2021-01-15,-31765.4445147103,22164.58539613,-45635.560936918,55878.4688,53500.6001041982,54142.6488486999
2021-01-18,-32736.9019656401,-33216.28734225,-26228.080338805,56485.2078,55288.5311989851,19592.46935229
2021-01-19,-34661.7039382202,-32709.44926901,-25675.783980482,52893.5622,65248.8941453622,25095.5191576499
2021-01-20,-37727.4371003003,-32846.46682398,13650.133584683,46901.4902,66929.7032308771,56907.4230912798
2021-01-21,-40007.8214817304,-32372.27402767,14370.887441052,47965.8522,71021.7727850182,60978.4169166698
2021-01-22,-41408.3257776805,-29237.12362723,29326.386732066,41516.2972,72355.5381977341,72552.7727248897
2021-01-25,-42661.7469752804,-30749.38508162,34069.505928217,42613.3912,74068.1151225432,77339.8801938598
2021-01-26,-43918.1326419901,-29798.50222312,11591.041597924,34785.1562,82186.8231062062,54846.38603902
2021-01-27,-45685.8097428502,-29381.83415278,-22941.608169566,32607.1112,83508.0825158261,18105.94165063
2021-01-28,-47373.1833714902,-24274.85629513,-4569.63234306202,32955.7962,90773.0311434521,47511.15533377
2021-01-29,-48408.6440101301,-38893.42266027,-94852.388509734,25984.8112,92042.3865359042,-64127.2574442299
2021-02-01,-51157.5040132902,-8119.29997680999,24398.930469279,-83.7627999999893,93903.0499887512,58941.08227146
2021-02-02,-52356.8794322203,-8729.77041834999,16129.473159129,3117.18720000001,102606.817827371,60766.4969394598
2021-02-03,-53994.9277938102,-8974.05992110999,19400.593434238,4849.11220000001,104027.767958922,65308.15448177
2021-02-04,-55722.7522544805,-8691.02836841999,102.09220941598,8202.48720000001,110116.769797074,54007.2371871197
2021-02-05,-57091.4805401904,-85544.76542014,61943.053173497,9877.60320000001,111758.333955903,40942.4129725997
2021-02-08,-58564.6264208401,-46993.36327021,62384.136806971,19100.8152,113072.366439069,88998.99735852
2021-02-09,-61221.8404385404,-42855.88584002,4839.86376211398,21279.6512,120938.207591266,42979.6648783498
2021-02-10,-62284.6561143103,-42350.84071039,6532.16667681498,21279.6512,122395.186779775,45571.1764354198
