Fecha;M2;Cuenta Corriente;Caja de Ahorros;Circulante en poder del público
2003-12-01;4845588,38833723;1694154,68941729;1111526,38200353;1970257,08110617
2004-01-02;4960315,83334437;1763213,77119519;1189307,60529688;2006065,22381486
2004-02-02;5114172,51529608;1824940,58870086;1278674,51858709;2010249,20567207
2004-03-01;5056352,86848948;1731038,50468941;1313657,45564226;2011610,32716697
2004-04-01;5216672,68993777;1857976,691251;1365542,64238518;1993153,3563016
2004-05-03;5373816,76605061;1979096,66302998;1363156,80678787;2031563,29623275
2004-06-01;5530687,21378544;2054272,83822205;1415439,48113879;2060974,89442459
2004-07-01;5696046,03278095;2072535,3454808;1475059,43520919;2148451,25209096
2004-08-02;5760584,49173795;2045602,27506499;1565454,83682556;2149527,37984741
2004-09-01;5732427,60666198;2017125,14763329;1586729,97248253;2128572,48654616
2004-10-01;5737606,04095765;2079154,27937075;1540625,84782434;2117825,91376256
2004-11-01;5822130,15941876;2109904,84736155;1565083,06563669;2147142,24642053
2004-12-01;6108760,56189774;2205977,2441995;1574241,62168979;2328541,69600845
2005-01-03;6105754,50297713;2174422,63152201;1580375,31368587;2350959,9947276
2005-02-01;5937815,49811643;2089470,21126729;1548206,16065639;2300142,70118169
2005-03-01;5910288,96423741;2063844,81951393;1554237,40374441;2292210,09390208
2005-04-01;5916353,79304318;2091654,33261023;1525352,92477471;2299346,53565824
2005-05-02;6038914,22594067;2148511,67422844;1551593,05825153;2338806,17682238
2005-06-01;6153309,48649165;2147999,36981379;1615737,89417582;2389572,22250204
2005-07-01;6336457,77693265;2150023,39887482;1689533,26413276;2496901,11392508
2005-08-01;6350057,57590127;2131039,27973976;1703226,44144329;2515791,85471822
2005-09-01;6292392,16218008;2117013,28202495;1658563,87877105;2516815,00138409
2005-10-03;6394930,78685075;2168841,08426936;1674789,98807805;2551299,71450334
2005-11-01;6430768,38795911;2203556,46381615;1658803,87175248;2568408,05239048
2005-12-01;6781716,58138547;2430688,14095789;1654076,50934993;2696951,93107766
2006-01-02;6832065,11346494;2421990,57698393;1667876,84474054;2742197,69174047
2006-02-01;6739066,67129334;2306118,32988436;1729362,26791088;2703586,07349809
