Fecha;Pases Pasivos;LELIQ
2019-01-02;1833;761398,183322
2019-01-03;1295;794499,971541
2019-01-04;1084;804507,182586
2019-01-07;3032;821745,002842
2019-01-08;305;815998,796845
2019-01-09;45;840865,661581
2019-01-10;244;840827,325878
2019-01-11;124;851417,430743
2019-01-14;82;830269,656285
2019-01-15;678;830715,78971
2019-01-16;373;839509,679535
2019-01-17;122;836004,060295
2019-01-18;6586;857975,151717
2019-01-21;273;856186,151934
2019-01-22;53;842839,5978
2019-01-23;472;834469,597211
2019-01-24;483;828443,310108
2019-01-25;13060;815096,118247
2019-01-28;47431;784788,723049
2019-01-29;77151;736504,558307
2019-01-30;83581;740777,508165
2019-01-31;112096;743976,608165
2019-02-01;6713;765000
2019-02-04;4180;805000
2019-02-05;467;840000
2019-02-06;1744;855000
2019-02-07;857;890000
2019-02-08;503;905000
2019-02-11;3466;915000
2019-02-12;3820;920000
2019-02-13;3576;945000
2019-02-14;4102;945000
2019-02-15;1513;945000
2019-02-18;85;945000
2019-02-19;176;935000
2019-02-20;297;947660,537681
2019-02-21;11;951535,994374
2019-02-22;1537;933230,021015
2019-02-25;283,7;903230,021015
2019-02-26;642,8;883230,021015
2019-02-27;199,1;855569,483334
2019-02-28;34115,9;825038,011214
2019-03-01;3168;858343,984573
2019-03-06;1076;898870,802494
2019-03-07;1099;962045,210249
2019-03-08;6;983236,963403
2019-03-11;6;1015619,547222
2019-03-12;6;1015619,547222
2019-03-13;5;1016131,564778
2019-03-14;18;995177,868436
2019-03-15;215;993848,680439
2019-03-18;6;998450,957098
2019-03-19;918;1007582,050951
2019-03-20;115,6;1016664,812664
2019-03-21;3140,5;1001957,428273
2019-03-22;20;1007121,562738
2019-03-25;1017;1000068,753099
2019-03-26;111;981788,457676
2019-03-27;6;973112,353532
2019-03-28;65;971662,260526
2019-03-29;27210;927638,184427
2019-04-01;237;947295,949048
2019-04-03;4174;958374,465229
2019-04-04;212;966952,267058
2019-04-05;120;998987,980663
2019-04-08;179;1030748,566347
2019-04-09;145,1;1032515,743821
2019-04-10;529;1030273,807876
2019-04-11;131;1026234,22702
2019-04-12;176;1011644,852145
2019-04-15;3674;1012016,516996
2019-04-16;1726;1024038,957878
2019-04-17;949;1079987,629246
2019-04-22;2419;1071834,626602
2019-04-23;695;1053999,925072
2019-04-24;409;1028263,802043
2019-04-25;235;994873,368287
2019-04-26;126;935872,913583
2019-04-29;1481;945141,065984
2019-04-30;13476;942814,079063
2019-05-02;186;962535,528034
2019-05-03;175;970168,798083
2019-05-06;2612;990798,306189
2019-05-07;903;998902,489204
2019-05-08;2806;1040964,528015
2019-05-09;975;1065846,60648
2019-05-10;671;1091899,168127
2019-05-13;679;1070394,766548
2019-05-14;639;1052354,37076
2019-05-15;638;1035246,687516
2019-05-16;635;1037932,368913
2019-05-17;755;1042763,07227
2019-05-20;628;1055828,266758
2019-05-21;626;1079580,395646
2019-05-22;752;1068237,842378
2019-05-23;721;1054894,24368
2019-05-24;2758;1062541,830258
2019-05-27;1176;1047944,425284
2019-05-28;4113;1035509,43581
2019-05-29;6147;1029241,394495
2019-05-30;43879;991348,982454
2019-05-31;42676;982202,996779
2019-06-03;3046;1018717,62292
2019-06-04;2418;1033938,294152
2019-06-05;550;1078349,519533
2019-06-06;1934;1135514,582939
2019-06-07;901;1140576,999062
2019-06-10;507;1139901,760006
2019-06-11;592;1138400,909125
2019-06-12;2528;1115801,198457
2019-06-13;2594;1124998,811203
2019-06-14;1860;1139425,050809
2019-06-18;945;1119472,688191
2019-06-19;5307;1115001,497716
2019-06-21;5132;1140820,224701
2019-06-24;837;1142998,803055
2019-06-25;6289;1128231,87249
2019-06-26;7687;1096273,389539
2019-06-27;6788;1097454,485839
2019-06-28;27631;1105775,977799
2019-07-01;9695;1128317,27417
2019-07-02;8263;1163508,26195
2019-07-03;8545;1234206,696867
2019-07-04;8465;1226119,354539
2019-07-05;3990;1226025,971784
2019-07-10;645;1238738,699919
2019-07-11;1494;1230775,3294
2019-07-12;1178;1241147,775234
2019-07-15;1090;1216731,167974
2019-07-16;1078;1203530,503988
2019-07-17;2389;1187216,479946
2019-07-18;2738;1168639,202988
2019-07-19;1492;1153514,421372
2019-07-22;1285;1199614,418558
2019-07-23;1068;1185102,711689
2019-07-24;987;1184977,973308
2019-07-25;917;1168903,725843
2019-07-26;4457;1190731,72105
2019-07-29;3267;1237663,416272
2019-07-30;3722;1288966,321623
2019-07-31;2479;1278656,762006
2019-08-01;2299;1305253,889057
2019-08-02;3547;1294491,062086
2019-08-05;3697;1272155,689772
2019-08-06;4053;1274375,259901
2019-08-07;4542;1272101,140715
2019-08-08;2491;1275931,780541
2019-08-09;5204;1288867,70004
2019-08-12;14663;1131598,006091
2019-08-13;3782;1145467,89266
2019-08-14;67632;1174928,473391
2019-08-15;53880;1211559,513085
2019-08-16;81612;1280223,16122
2019-08-20;43792;1325356,858222
2019-08-21;34333;1294576,348219
2019-08-22;29911;1290133,741799
2019-08-23;85023;1286080,326634
2019-08-26;53118;1271228,230086
2019-08-27;47750;1316469,034331
2019-08-28;57446;1261393,018906
2019-08-29;93382;1154324,186664
2019-08-30;221155;1038678,25478
2019-09-02;30579;963485,847805
2019-09-03;29587;1005502,968819
2019-09-04;34128;1032572,835487
2019-09-05;29900;1070310,205035
2019-09-06;35058;1109554,815255
2019-09-09;128748;1108631,739521
2019-09-10;121518;1111780,465638
2019-09-11;107700;1107681,960496
2019-09-12;105584;1125341,009967
2019-09-13;109264;1150576,777706
2019-09-16;126126;1150795,509026
2019-09-17;153956;1110689,895771
2019-09-18;157833;1126959,623458
2019-09-19;160700;1126793,850418
2019-09-20;163411;1105079,11598
2019-09-23;168596;1110915,602988
2019-09-24;175028;1126252,850981
2019-09-25;173332;1115639,572704
2019-09-26;180336;1111687,85224
2019-09-27;192669;1127731,707107
2019-09-30;224579;1084839,00398
2019-10-01;148346;1136599,553535
2019-10-02;161824;1154240,264422
2019-10-03;150663;1171981,595918
2019-10-04;148587;1172779,362602
2019-10-07;151046;1165306,18681
2019-10-08;165131;1159387,494849
2019-10-09;176127;1124072,136183
2019-10-10;185109;1138454,355431
2019-10-11;176663;1126154,246772
2019-10-15;141603;1135609,099391
2019-10-16;144444;1118098,138749
2019-10-17;171715;1102208,151586
2019-10-18;174785;1088761,767724
2019-10-21;179990;1033403,036216
2019-10-22;196386;974675,427509
2019-10-23;184680;919732,084489
2019-10-24;200326;880405,446017
2019-10-25;200345;778977,685466
2019-10-28;261264;794719,43341
2019-10-29;272404;795860,102837
2019-10-30;275171;754900,502509
2019-10-31;312543;796760,05023
2019-11-01;231940;831833,344103
2019-11-04;218027;863361,668255
2019-11-05;205761;905810,267928
2019-11-07;209318;906566,086841
2019-11-08;244902;865049,778617
2019-11-11;216678;838384,107726
2019-11-12;201859;817284,497137
2019-11-13;208615;805410,088903
2019-11-14;207929;797868,21374
2019-11-15;210081;797440,478949
2019-11-19;223283;798387,440901
2019-11-20;230744;785557,604743
2019-11-21;237574;773419,200588
2019-11-22;234682;773456,71822
2019-11-25;215950;739802,053393
2019-11-26;250249;768307,162135
2019-11-27;275537;741815,355456
2019-11-28;273436;721202,646568
2019-11-29;316925;729693,178352
2019-12-02;310946;790899,775908
2019-12-03;380492;813806,227575
2019-12-04;426439;849075,63836
2019-12-05;434883;821952,224695
2019-12-06;478961;761850,095225
2019-12-09;468505;701609,712297
2019-12-10;413315;679345,333118
2019-12-11;418182;681511,379491
2019-12-12;483266;682859,441804
2019-12-13;514521;683880,773985
2019-12-16;459414;685371,43983
2019-12-17;486011;687984,363523
2019-12-18;462244;690802,927964
2019-12-19;464085;693181,996191
2019-12-20;412576;750230,372607
2019-12-23;356146;752412,991983
2019-12-26;456518;755398,778757
2019-12-27;426655;758452,961246
2019-12-30;431248;760184,560077
2020-01-02;470013;761688,715402
2020-01-03;524925;763028,835761
2020-01-06;633044;764862,097981
2020-01-07;680111;766837,88332
2020-01-08;727163;768202,947213
2020-01-09;748656;769722,96829
2020-01-10;777494;771003,356394
2020-01-13;754874;772754,905889
2020-01-14;769119;774642,625919
2020-01-15;791779;775946,845767
2020-01-16;798715;777399,116
2020-01-17;814462;778642,535785
2020-01-20;774965;780343,513239
2020-01-21;190990;1289165,34182
2020-01-22;337177;1157080,942868
2020-01-23;41709;1571872,535304
2020-01-24;90141;1440958,267858
2020-01-27;34961;1261869,741234
2020-01-28;8972;1413907,086783
2020-01-29;47867;1413907,086783
2020-01-30;50505;1472838,107194
2020-01-31;36086;1472838,107194
2020-02-03;5595;1472838,107194
2020-02-04;4551;1403625,130518
2020-02-05;4439;1403625,130518
2020-02-06;3805;1341272,086465
2020-02-07;2744;1341272,086465
2020-02-10;4025;1341272,086465
2020-02-11;3880;1320868,004576
2020-02-12;3661;1320868,004576
2020-02-13;2672;1317678,12068
2020-02-14;5659;1317678,12068
2020-02-17;2338;1317678,12068
2020-02-18;4060;1345640,775131
2020-02-19;2825;1345640,775131
2020-02-20;4317;1434840,013486
2020-02-21;40675;1434840,013486
2020-02-26;42607;1506462,139018
2020-02-27;57531;1589614,11721
2020-02-28;67202;1589614,11721
2020-03-02;3647;1589614,11721
2020-03-03;3428;1697204,968354
2020-03-04;1462;1697204,968354
2020-03-05;1653;1705519,053943
2020-03-06;1033;1705519,053943
2020-03-09;1466;1705519,053943
2020-03-10;728;1649079,692216
2020-03-11;1431;1649079,692216
2020-03-12;1581;1592269,576112
2020-03-13;1504;1592269,576112
2020-03-16;1240;1592269,576112
2020-03-17;1610;1532269,576112
2020-03-18;1603;1532269,576112
2020-03-19;3131;1449512,948717
2020-03-20;726;1449512,948717
2020-03-25;4307;1316462,948717
2020-03-26;12380;1269462,948717
2020-03-27;112943;1269462,948717
2020-03-30;44515;1269462,948717
2020-04-01;49940;1169462,948717
2020-04-02;61853;1169462,948717
2020-04-03;99365;1137349,928989
2020-04-06;125910;1137349,928989
2020-04-07;157358;1129193,372605
2020-04-08;170731;1119193,372605
2020-04-13;172656;1119193,372605
2020-04-14;20558;1299193,372605
2020-04-15;22024;1299193,372605
2020-04-16;9447;1316472,651781
2020-04-17;523948;1316472,651781
2020-04-20;533708;1316472,651781
2020-04-21;568448;1318477,051781
2020-04-22;620416;1318477,051781
2020-04-23;636485;1317366,545027
2020-04-24;692516;1317366,545027
2020-04-27;641386;1317366,545027
2020-04-28;740376;1286338,685021
2020-04-29;783621;1286338,685021
2020-04-30;839026;1187699,34293
2020-05-04;329776;1187699,34293
2020-05-05;314243;1220559,288181
2020-05-06;410754;1220559,288181
2020-05-07;470244;1219042,106393
2020-05-08;472254;1219042,106393
2020-05-11;455270;1219042,106393
2020-05-12;455229,1;1199697,382902
2020-05-13;568176;1199697,382902
2020-05-14;548237;1202556,528655
2020-05-15;381618;1202556,528655
2020-05-18;628083;1202556,528655
2020-05-19;716992;1337775,653368
2020-05-20;812329;1337775,653368
2020-05-21;747393;1337886,160122
2020-05-22;752238;1337886,160122
2020-05-26;717559;1337914,020128
2020-05-27;760758;1337914,020128
2020-05-28;761739;1338553,362219
2020-05-29;703668;1338553,362219
2020-06-01;424836;1338553,362219
2020-06-02;334215;1641295,376232
2020-06-03;399519;1641295,376232
2020-06-04;422710;1653434,807062
2020-06-05;461378;1653434,807062
2020-06-08;547954;1653434,807062
2020-06-09;542146;1671076,216306
2020-06-10;573462;1671076,216306
2020-06-11;611486;1673487,616306
2020-06-12;619547;1673487,616306
2020-06-16;600849;1667322,966114
2020-06-17;612956;1667322,966114
2020-06-18;605957;1682302,081114
2020-06-19;663500;1682302,081114
2020-06-22;612755;1682302,081114
2020-06-23;698238;1683302,081114
2020-06-24;690855;1683302,081114
2020-06-25;693287;1683302,081114
2020-06-26;666091;1683302,081114
2020-06-29;700455;1683302,081114
2020-06-30;737391;1683700,12185
2020-07-01;524842;1683700,12185
2020-07-02;539698;1708077,872808
2020-07-03;548561;1708077,872808
2020-07-06;546547;1708077,872808
2020-07-07;575414;1728741,21799
2020-07-08;714824;1709442,264238
2020-07-13;644057;1709442,264238
2020-07-14;660428;1717054,109608
2020-07-15;711753;1717054,109608
2020-07-16;730910;1717074,994608
2020-07-17;774729;1717074,994608
2020-07-20;741769;1717074,994608
2020-07-21;755608;1703191,172608
2020-07-22;748730;1703191,172608
2020-07-23;733423;1721191,172608
2020-07-24;751515;1721191,172608
2020-07-27;752400;1721191,172608
2020-07-28;781851;1686763,410268
2020-07-29;825645;1686763,410268
2020-07-30;744790;1672798,734472
2020-07-31;674325;1672798,734472
2020-08-03;590255;1672798,734472
2020-08-04;578171;1751014,072308
2020-08-05;614082;1751014,072308
2020-08-06;604780;1813427,037474
2020-08-07;656987;1813427,037474
2020-08-10;653867;1813427,037474
2020-08-11;665206;1848474,107175
2020-08-12;644675;1848474,107175
2020-08-13;620586;1877087,272245
2020-08-14;646811;1877087,272245
2020-08-18;702978;1857349,635367
2020-08-19;715982;1857349,635367
2020-08-20;690693;1874940,248354
2020-08-21;717760;1874940,248354
2020-08-24;713769;1874940,248354
2020-08-25;736251;1838514,013662
2020-08-26;742809;1838514,013662
2020-08-27;717893;1856751,066791
2020-08-28;625659;1856751,066791
2020-08-31;659979;1856751,066791
2020-09-01;603728;1834011,649805
2020-09-02;613940;1834011,649805
2020-09-03;619326;1856443,358298
2020-09-04;617923;1856443,358298
2020-09-07;690316;1856443,358298
2020-09-08;705461;1848241,002132
2020-09-09;709298;1848241,002132
2020-09-10;702860;1860884,259118
2020-09-11;699714;1860884,259118
2020-09-14;687795;1860884,259118
2020-09-15;758166;1844320,003543
2020-09-16;757463;1844320,003543
2020-09-17;703769;1878579,120118
2020-09-18;713410;1878579,120118
2020-09-21;689896;1878579,120118
2020-09-22;773287;1832022,742276
2020-09-23;808094;1832022,742276
2020-09-24;764197;1855480,320782
2020-09-25;800061;1855480,320782
2020-09-28;739350;1855480,320782
2020-09-29;779049;1842806,612289
2020-09-30;715960;1842806,612289
2020-10-01;563663;1797076,234578
2020-10-02;742574;1797076,234578
2020-10-05;715149;1797076,234578
2020-10-06;807037;1717371,339001
2020-10-07;874837;1717371,339001
2020-10-08;794738;1742647,936453
2020-10-09;841314;1742647,936453
2020-10-13;842406;1719922,788523
2020-10-14;873064;1719922,788523
2020-10-15;833435;1751321,333181
2020-10-16;860539;1751321,333181
2020-10-19;868280;1751321,333181
2020-10-20;949467;1714555,879373
2020-10-21;951311;1714555,879373
2020-10-22;983182;1694588,714107
2020-10-23;949916;1694588,714107
2020-10-26;912129;1694588,714107
2020-10-27;1050282;1631612,648187
2020-10-28;1060585;1631612,648187
2020-10-29;963424;1608055,640788
2020-10-30;982180;1608055,640788
2020-11-02;874494;1608055,640788
2020-11-03;858289;1622090,498872
2020-11-04;855244;1622090,498872
2020-11-05;823569;1630587,379092
2020-11-09;740739;1630587,379092
2020-11-10;780385;1622117,259448
2020-11-11;822486;1622117,259448
2020-11-12;761280;1632755,013092
2020-11-13;845818;1632755,013092
2020-11-16;849274;1632755,013092
2020-11-17;873823;1621113,399722
2020-11-18;873486;1621113,399722
2020-11-19;871488;1681457,317311
2020-11-20;867777;1681457,317311
2020-11-24;848718;1653196,265253
2020-11-25;870875;1653196,265253
2020-11-26;848050;1671032,601692
2020-11-27;818180;1671032,601692
2020-11-30;940429;1671032,601692
2020-12-01;888315;1663841,146899
2020-12-02;853015;1663841,146899
2020-12-03;844227;1689864,928268
2020-12-04;878792;1689864,928268
2020-12-09;880071;1683372,564542
2020-12-10;908099;1665334,55824
2020-12-11;956103;1665334,55824
2020-12-14;1010173;1665334,55824
2020-12-15;1060971;1667091,625418
2020-12-16;1075061;1667091,625418
2020-12-17;1038375;1657366,625418
2020-12-18;1109085;1657366,625418
2020-12-21;1152292;1615312,625418
2020-12-22;1211044;1558760,84065
2020-12-23;1220889;1633619,996268
2020-12-28;1155284;1570512,509058
2020-12-29;1203397;1496126,840169
2020-12-30;1141434;1701909,070856
2021-01-04;996555;1701894,070856
2021-01-05;983665;1726967,331678
2021-01-06;941247;1726967,331678
2021-01-07;931637;1712410,550678
2021-01-08;1038301,4;1712410,550678
2021-01-11;1031642;1712410,550678
2021-01-12;1038562;1710546,425199
2021-01-13;985335;1710546,425199
2021-01-14;1030733;1707009,235857
2021-01-15;1067132;1707009,235857
2021-01-18;1047725;1707009,235857
2021-01-19;1062860;1691156,385775
2021-01-20;1023534;1691156,385775
2021-01-21;961803;1753849,183856
2021-01-22;946848;1753849,183856
2021-01-25;942105;1753849,183856
2021-01-26;972204;1746005,629883
2021-01-27;1006737;1746005,629883
2021-01-28;994890;1739075,900569
2021-01-29;1085173;1739075,900569
2021-02-01;965922;1739075,900569
2021-02-02;958423;1755302,966337
2021-02-03;955152;1755302,966337
2021-02-04;940757;1789979,23757
2021-02-05;878916;1789979,23757
2021-02-08;878475;1789979,23757
2021-02-09;919400;1807082,591816
2021-02-10;917708;1807082,591816
2021-02-11;934459;1855288,509925
2021-02-12;961635;1855288,509925
2021-02-17;784942;1808638,198911
2021-02-18;833662;1820721,198912
2021-02-19;825691;1820721,198912
2021-02-22;917511;1820721,198912
2021-02-23;1057514;1789292,290421
2021-02-24;1093597;1789292,290421
2021-02-25;1117053;1812024,4159
2021-02-26;1186355;1812024,4159
2021-03-01;1104208;1812024,4159
2021-03-02;1090751;1836169,270147
2021-03-03;1010419;1836169,270147
2021-03-04;974925;1887889,859955
2021-03-05;977872;1887889,859955
2021-03-08;1022693;1887889,859955
2021-03-09;1043413;1899146,738914
2021-03-10;1047611;1899146,738914
2021-03-11;1164867;1858236,613435
2021-03-12;1203231;1858236,613435
2021-03-15;1224187;1858236,613435
2021-03-16;1275317;1908310,478367
2021-03-17;1297935;1908310,478367
2021-03-18;1243192;1912628,749602
2021-03-19;1217814;1912628,749602
2021-03-22;1204101;1912628,749602
2021-03-23;1219563;1936074,020835
2021-03-25;1252401;1901542,729328
2021-03-26;1291721;1901542,729328
2021-03-29;1262021;1901542,729328
2021-03-30;1270943;1891864,041109
2021-03-31;1504964;1820218,305178
2021-04-05;1101580;1820218,305178
2021-04-06;1101987;1900712,435181
2021-04-07;1117591;1900712,435181
2021-04-08;1265497;1925568,163948
2021-04-09;1389416;1925568,163948
2021-04-12;1348495;1925568,163948
2021-04-13;1358797;1953945,566224
2021-04-14;1402800,5;1953945,566224
2021-04-15;1364462,8;2018983,149238
2021-04-16;1433537,1;2018983,149238
2021-04-19;1395580,5;2018983,149238
2021-04-20;1408967,9;2025457,331661
2021-04-21;1414180,5;2025457,331661
2021-04-22;1435666,5;2005289,01988
2021-04-23;1356955,3;2005289,01988
2021-04-26;1347091,9;2005289,01988
2021-04-27;1388757,6;1987395,873015
2021-04-28;1441904,1;1987395,873015
