Fecha;Pases Pasivos;LELIQ;Cta. Cte. en BCRA;Circulante
2021-01-04;996555;1701894,070856;729205;1897544
2021-01-05;983665;1726967,331678;724878;1894407
2021-01-06;941247;1726967,331678;767470;1891553
2021-01-07;931637;1712410,550678;795589;1888402
2021-01-08;1038301,4;1712410,550678;688651;1885161
2021-01-11;1031642;1712410,550678;713186;1881753
2021-01-12;1038562;1710546,425199;722548;1878166
2021-01-13;985335;1710546,425199;784478;1874086
2021-01-14;1030733;1707009,235857;762764;1868435
2021-01-15;1067132;1707009,235857;736546;1863034
2021-01-18;1047725;1707009,235857;705271;1859758
2021-01-19;1062860;1691156,385775;715944;1854589
2021-01-20;1023534;1691156,385775;752514;1849831
2021-01-21;961803;1753849,183856;760694;1845722
2021-01-22;946848;1753849,183856;776526;1841464
2021-01-25;942105;1753849,183856;783544;1839233
2021-01-26;972204;1746005,629883;763624;1836660
2021-01-27;1006737;1746005,629883;728447;1835096
2021-01-28;994890;1739075,900569;759686;1833262
2021-01-29;1085173;1739075,900569;650239;1831071
2021-02-01;965922;1739075,900569;773238;1831140
2021-02-02;958423;1755302,966337;775600;1830604
2021-02-03;955152;1755302,966337;779977;1830768
2021-02-04;940757;1789979,23757;765897;1833547
2021-02-05;878916;1789979,23757;751992;1834388
2021-02-08;878475;1789979,23757;797370;1837066
2021-02-09;919400;1807082,591816;748805;1839612
2021-02-10;917708;1807082,591816;746762;1844247
2021-02-11;934459;1855288,509925;692909;1849994
2021-02-12;961635;1855288,509925;665333;1849946
2021-02-17;784942;1808638,198911;905219;1849399
2021-02-18;833662;1820721,198912;854118;1845431
2021-02-19;825691;1820721,198912;871919;1838509
2021-02-22;917511;1820721,198912;821560;1832281
2021-02-23;1057514;1789292,290421;730035;1826420
2021-02-24;1093597;1789292,290421;699120;1824088
2021-02-25;1117053;1812024,4159;665033;1820794
2021-02-26;1186355;1812024,4159;589384;1819502
2021-03-01;1104208;1812024,4159;693697;1818776
2021-03-02;1090751;1836169,270147;691134;1817411
2021-03-03;1010419;1836169,270147;812364;1817769
2021-03-04;974925;1887889,859955;816959;1821536
2021-03-05;977872;1887889,859955;818647;1822780
2021-03-08;1022693;1887889,859955;773507;1823365
2021-03-09;1043413;1899146,738914;752096;1822518
2021-03-10;1047611;1899146,738914;812059;1822737
2021-03-11;1164867;1858236,613435;753556;1823786
2021-03-12;1203231;1858236,613435;726942;1822987
2021-03-15;1224187;1858236,613435;722809;1821006
2021-03-16;1275317;1908310,478367;642369;1817387
2021-03-17;1297935;1908310,478367;629256;1814242
2021-03-18;1243192;1912628,749602;617430;1809877
2021-03-19;1217814;1912628,749602;650345;1804223
2021-03-22;1204101;1912628,749602;664653;1801722
