"Fecha","LELIQ","Pases Pasivos 1 día","Pases Pasivos 7 días","Ponderada"
2019-01-02,59.252,46.53,NA,59.2214464449179
2019-01-03,59.252,46.53,NA,59.2312974439533
2019-01-04,59.287,46.78,NA,59.2701706350652
2019-01-07,58.964,46.78,NA,58.9192098471797
2019-01-08,58.8,46.6,NA,58.7954416480551
2019-01-09,58.782,46.4,NA,58.7813373969133
2019-01-10,58.459,46.2,NA,58.4554435881857
2019-01-11,58.107,45.6,NA,58.1051787521499
2019-01-14,57.801,45.6,NA,57.7997951104903
2019-01-15,57.61,45.6,NA,57.6002058686259
2019-01-16,57.542,45.44,NA,57.5366253850568
2019-01-17,57.316,45.28,NA,57.3142438150541
2019-01-18,57.253,43.48,NA,57.1480808999226
2019-01-21,57.134,43.48,NA,57.1296477293849
2019-01-22,56.942,43.48,NA,56.9411535267935
2019-01-23,56.872,43.48,NA,56.864429381862
2019-01-24,56.697,43.48,NA,56.6892986990253
2019-01-25,56.598,44.6,NA,56.4087918585065
2019-01-28,56.314,44.2,NA,55.623582411848
2019-01-29,55.639,43.98,NA,54.5334910413055
2019-01-30,54.889,42.8,NA,53.6633066893928
2019-01-31,53.687,41.6,NA,52.1043020616741
2019-02-01,52.441,46.35,NA,52.3880154280153
2019-02-04,51.304,40,NA,51.2456066635359
2019-02-05,50.02,39.58,NA,50.0141990821769
2019-02-06,48.824,38.78,NA,48.8035542939314
2019-02-07,47.55,36.8,NA,47.5396585535052
2019-02-08,46.243,35.95,NA,46.237282317121
2019-02-11,45.155,35.11,NA,45.1170933491278
2019-02-12,44.356,38.97,NA,44.3337288649304
2019-02-13,43.971,38.7,NA,43.9511290608238
2019-02-14,43.937,38.7,NA,43.9143657899783
2019-02-15,44.214,38.7,NA,44.2051858770033
2019-02-18,44.312,38.7,NA,44.3114952623309
2019-02-19,44.486,38.7,NA,44.4849110755623
2019-02-20,46.014,36.45,NA,46.0110035493289
2019-02-21,49.026,36.45,NA,49.0258546198971
2019-02-22,49.521,36.45,NA,49.4995078778473
2019-02-25,49.829,32.4,NA,49.8235273578198
2019-02-26,50.065,32.4,NA,50.0521530589809
2019-02-27,49.982,35.2,NA,49.9785608737487
2019-02-28,50.127,37.6,NA,49.62956889514
2019-03-01,50.219,37.6,NA,50.1725967082108
2019-03-06,50.551,38.4,NA,50.5364719457153
2019-03-07,51.862,38.4,NA,51.8466391248137
2019-03-08,57.894,45.6,NA,57.8939249788681
2019-03-11,59.863,38.4,NA,59.8628732032683
2019-03-12,62.119,46.31,NA,62.1189066053426
2019-03-13,63.328,47.02,NA,63.3279197548806
2019-03-14,63.664,49.4,NA,63.6637420085753
2019-03-15,63.744,54.15,NA,63.7419249719705
2019-03-18,63.707,52.2,NA,63.7069308513006
2019-03-19,63.873,54.9,NA,63.864832212609
2019-03-20,64.885,55.79,NA,64.8839659694592
2019-03-21,65.758,55.79,NA,65.7268542746737
2019-03-22,66.655,55.89,NA,66.6547862266756
2019-03-25,66.827,56.69,NA,66.8167018522458
2019-03-26,66.925,57.24,NA,66.9239051475774
2019-03-27,67.758,58.49,NA,67.7579428558717
2019-03-28,68.349,58.86,NA,68.3483652694279
2019-03-29,68.155,58.86,NA,67.890123390163
2019-04-01,68.149,58.86,NA,68.1466766053337
2019-04-03,67.981,58.86,NA,67.9414476497805
2019-04-04,67.691,59.49,NA,67.6892023612129
2019-04-05,67.379,59.49,NA,67.3780524747892
2019-04-08,67.172,59.49,NA,67.1706661739923
2019-04-09,66.937,59.94,NA,66.9360168459412
2019-04-10,66.755,59.76,NA,66.7514102202946
2019-04-11,66.813,59.67,NA,66.8120883040702
2019-04-12,66.86,59.67,NA,66.8587493438218
2019-04-15,66.852,59.58,NA,66.8256954046996
2019-04-16,66.792,59.58,NA,66.7798647521497
2019-04-17,67.12,59.58,NA,67.1133803149913
2019-04-22,67.872,59.58,NA,67.8533281077175
2019-04-23,67.891,59.58,NA,67.8855233973705
2019-04-24,68.366,59.81,NA,68.3625981369459
2019-04-25,71.039,59.84,NA,71.0363552980923
2019-04-26,71.868,59.84,NA,71.8663808442745
2019-04-29,73.191,60.03,NA,73.1704094795585
2019-04-30,73.93,60.97,NA,73.7473682193052
2019-05-02,74.069,61.2,NA,74.0665136797814
2019-05-03,73.766,61.2,NA,73.7637337413767
2019-05-06,73.53,64.03,NA,73.5050213986654
2019-05-07,73.242,65.02,NA,73.2345740895803
2019-05-08,72.875,64.97,NA,72.8537487484992
2019-05-09,72.481,64.8,NA,72.4739801056198
2019-05-10,72.053,64.22,NA,72.0481893771647
2019-05-13,71.743,63.9,NA,71.7380279829771
2019-05-14,71.627,63.9,NA,71.6223109362916
2019-05-15,71.602,63.8,NA,71.5971947585866
2019-05-16,71.571,63.8,NA,71.5662486616201
2019-05-17,71.476,63.8,NA,71.4704463060545
2019-05-20,71.441,63.8,NA,71.4364578829707
2019-05-21,71.218,63.14,NA,71.2133186464917
2019-05-22,70.985,62.98,NA,70.9793687397566
2019-05-23,70.892,62.98,NA,70.8865959931574
2019-05-24,70.904,62.98,NA,70.8834852196731
2019-05-27,70.823,62.98,NA,70.814208475426
2019-05-28,70.793,62.98,NA,70.7620898658079
2019-05-29,70.747,63.18,NA,70.7020754584006
2019-05-30,70.752,63.18,NA,70.4310544753124
2019-05-31,70.73,63.18,NA,70.4156177158351
2019-06-03,70.691,63.22,NA,70.668728052272
2019-06-04,70.532,63,NA,70.514426530236
2019-06-05,70.275,62.99,NA,70.2712862621334
2019-06-06,69.967,62.77,NA,69.9547629651056
2019-06-07,69.61,61.88,NA,69.6038984982578
2019-06-10,69.241,61.88,NA,69.2377274655098
2019-06-11,68.889,61.74,NA,68.8852842543039
2019-06-12,67.977,59.84,NA,67.9586061889215
2019-06-13,67.313,59.84,NA,67.2958085441771
2019-06-14,66.663,59.28,NA,66.6509676159867
2019-06-18,66.105,58.94,NA,66.0989567849817
2019-06-19,65.441,57.83,NA,65.40494602283
2019-06-21,64.616,56.97,NA,64.5817583700662
2019-06-24,63.839,56.51,NA,63.8336370160965
2019-06-25,63.025,56.25,NA,62.9874440801107
2019-06-26,62.604,56.25,NA,62.5597563854076
2019-06-27,62.595,56.25,NA,62.5559960126038
2019-06-28,62.688,56.25,NA,62.5310498651548
2019-07-01,62.08,55.29,NA,62.0221543585301
2019-07-02,61.378,54.71,NA,61.33097914722
2019-07-03,60.795,53.91,NA,60.7476596301189
2019-07-04,60.339,53.55,NA,60.2924508235191
2019-07-05,59.895,53.53,NA,59.8743528290831
2019-07-10,59.484,53.1,NA,59.4806776390554
2019-07-11,59.161,53.05,NA,59.1535910401386
2019-07-12,59.011,52.74,NA,59.0050537030244
2019-07-15,58.833,52.69,NA,58.8275017625115
2019-07-16,58.8,52.51,NA,58.7943711006708
2019-07-17,58.738,52.51,NA,58.7254927509575
2019-07-18,58.724,52.51,NA,58.709475274782
2019-07-19,58.708,52.51,NA,58.6999936237333
2019-07-22,58.777,52.51,NA,58.7702941136655
2019-07-23,58.91,52.56,NA,58.9042826104766
2019-07-24,59.009,52.56,NA,59.0036329249655
2019-07-25,59.232,52.56,NA,59.2267699473391
2019-07-26,59.587,52.65,NA,59.5611311071168
2019-07-29,59.994,52.71,NA,59.9748233985661
2019-07-30,60.272,52.92,NA,60.250831599588
2019-07-31,60.396,53.01,NA,60.3817080767371
2019-08-01,60.648,53.1,NA,60.6347287570964
2019-08-02,61.009,53.64,NA,60.9888635773762
2019-08-05,61.589,53.95,NA,61.5668646992506
2019-08-06,62.28,54.09,NA,62.2540352501261
2019-08-07,62.93,54.18,NA,62.8988695307776
2019-08-08,63.383,54.42,NA,63.3655356420897
2019-08-09,63.706,54.9,NA,63.670587415057
2019-08-12,74.782,55.13,NA,74.5306111152096
2019-08-13,74.854,56.02,NA,74.7920202787445
2019-08-14,74.929,56.64,NA,73.933538069182
2019-08-15,74.96,57.04,NA,74.1970005914813
2019-08-16,74.972,63,NA,74.2545424898527
2019-08-20,74.964,64.8,NA,74.6389061394405
2019-08-21,74.977,66.82,NA,74.7662600564701
2019-08-22,74.979,67.14,NA,74.8013754683645
2019-08-23,74.984,67.23,NA,74.5031694679799
2019-08-26,74.987,67.32,NA,74.6794854718894
2019-08-27,74.988,67.41,NA,74.7227570361548
2019-08-28,74.983,67.41,NA,74.6531352084951
2019-08-29,78.207,67.41,NA,77.3989207704694
2019-08-30,83.264,67.41,NA,80.4809401333891
2019-09-02,85.275,67.41,NA,84.7254444692856
2019-09-03,85.732,67.41,NA,85.2082841585466
2019-09-04,85.798,67.45,NA,85.2109745443444
2019-09-05,85.801,67.5,NA,85.3036405885932
2019-09-06,85.828,67.5,NA,85.2666372269851
2019-09-09,85.983,73.8,NA,84.7153722589743
2019-09-10,85.991,76.04,NA,85.0105190769378
2019-09-11,85.987,76.04,NA,85.1055553720389
2019-09-12,85.991,76.04,NA,85.1374415983975
2019-09-13,84.149,74.24,NA,83.2896080870224
2019-09-16,84.011,74.24,NA,83.0458841825524
2019-09-17,83.46,73.8,NA,82.2840068109395
2019-09-18,83.205,73.8,NA,82.0496233750901
2019-09-19,82.788,71.1,NA,81.3291490708168
