"Fecha";"BADLAR Privada";"BADLAR Total";"PF menores 100.000";"PF Total"
2019-01-02;48,16875;48,14375;42,016;46,4349665979727
2019-01-03;48,1875;48,20625;41,954;46,4425217081638
2019-01-04;48,03125;48,31875;41,924;46,7384154105084
2019-01-07;47,95;48,10625;41,873;46,6633854971273
2019-01-08;47,7;47,98125;41,731;46,6367548981254
2019-01-09;47,4375;47,4125;41,491;45,9667164041208
2019-01-10;47,3;47,10625;41,425;45,7397874052114
2019-01-11;47,1625;46,9625;41,321;45,6145584233025
2019-01-14;46,925;46,74375;41,313;45,256764115796
2019-01-15;46,625;46,95;41,248;44,8176182785064
2019-01-16;46,4875;46,65;41,211;44,49621549363
2019-01-17;46,3125;46,36875;41,147;44,2960265631597
2019-01-18;46,21875;46,2125;41,121;44,0437628242429
2019-01-21;46,00625;45,9;40,957;43,9231289397697
2019-01-22;45,85625;45,55625;40,893;43,5065826804909
2019-01-23;45,84375;45,6875;41,018;43,6577185273687
2019-01-24;45,725;45,41875;41,044;43,4565090634266
2019-01-25;45,625;45,2625;40,957;43,4306083293178
2019-01-28;45,4875;45,10625;40,806;43,1551832671057
2019-01-29;45,3;44,90625;40,695;43,5802173726419
2019-01-30;45,14375;44,775;40,72;43,7094570004009
2019-01-31;45,025;44,65;40,671;43,4989683446432
2019-02-01;44,68125;44,16875;40,318;43,1292988706925
2019-02-04;44,40625;44,03125;40,235;42,7514880054966
2019-02-05;43,99375;43,69375;40,081;42,5969444875141
2019-02-06;43,49375;43,38125;39,885;42,2752471702042
2019-02-07;42,9;42,88125;39,585;41,9538604835147
2019-02-08;42,25;42,34375;39,166;41,4930223863401
2019-02-11;41,5375;41,8;38,836;41,2153787178976
2019-02-12;40,7375;41,1875;38,381;40,6328611384148
2019-02-13;39,91875;40,6125;37,864;40,0652603043435
2019-02-14;39,06875;39,8125;37,249;39,4319351662642
2019-02-15;38,35;39,275;36,771;38,7967456546132
2019-02-18;37,6375;38,5375;36,156;38,1880774454828
2019-02-19;37,03125;37,8625;35,551;37,5161394124688
2019-02-20;36,46875;37,18125;34,876;36,7092553238167
2019-02-21;36,11875;36,7125;34,359;35,9269559504417
2019-02-22;35,9625;36,36875;34,144;35,6599096016874
2019-02-25;35,825;36,09375;33,834;35,3339685487644
2019-02-26;35,9;36,2;33,632;35,3774196209374
