"Fecha";"Adelantos";"Doc. s/f (desde 90 d.)";"Doc. s/f (hasta 89 d.)";"Prend. (hasta 1 año)";"Prend. (más de 1 año)"
2019-01-31;67,91;64,86;66,14;27,99;25,89
2019-02-28;60,65;51,75;53,69;19,18;26,17
2019-03-31;62,95;55,87;58,43;25,11;22,45
2019-04-30;69,16;58,49;68,39;23,39;23,8
2019-05-31;72,75;61,33;71,38;22,19;23,78
2019-06-30;72,45;58,55;71,21;16,68;23,63
2019-07-31;68,32;56;65,32;18,73;23,74
2019-08-31;75,72;69,21;75,91;23,12;27,05
2019-09-30;84,73;61;77,18;18,62;31,3
2019-10-31;77,63;66,47;74,16;24,21;31,09
2019-11-30;72;61,59;66,66;18,39;34,25
2019-12-31;66,44;57,26;54,83;16,38;31,75
2020-01-31;60,11;50,35;50,91;10,66;27,74
2020-02-29;53,11;40,92;47,37;13,84;24,88
2020-03-31;47,44;39,69;42,16;12,17;24,92
2020-04-30;38,67;27,78;33,03;10,97;23,88
2020-05-31;35,11;28,65;30,07;7,15;23,88
2020-06-30;34,2;29,87;33,53;9,79;24,17
2020-07-31;32,8;30,97;32,38;15,71;23,97
2020-08-31;32,01;29,61;29,1;14,49;25,52
2020-09-30;30,44;29,23;28,02;14,98;26,45
2020-10-31;33,41;31,89;35,04;26,49;26,88
2020-11-30;37,87;36,22;39,82;21,93;26,75
2020-12-31;39,66;34,51;39,74;42,43;28,89
