"Fecha";"Documentos a s/f (desdee 90 d.)";"Documentos descontados (desde 90 d.)";"Personales (Más de 180 días)";"Prendarios (Más de 1 año)"
2019-01-31;54,99;61,4;64,27;32,46
2019-02-28;53,53;54,37;62,22;30,92
2019-03-31;52,37;46,04;60,85;27,15
2019-04-30;53,04;50,54;63,32;29,78
2019-05-31;51,13;55,85;67,21;29,23
2019-06-30;52,48;62,46;67,26;26,89
2019-07-31;54,17;58,72;65,96;27,83
2019-08-31;53,51;63,13;68,96;32,61
2019-09-30;58,07;68,55;76,96;36,05
2019-10-31;61,12;65,22;75,9;35,61
2019-11-30;59,54;60,27;74,65;38
2019-12-31;53,83;56,01;71,86;35,78
2020-01-31;48,75;47,07;69,16;29,88
2020-02-29;36,48;39,46;63,91;27,25
2020-03-31;33,88;37,05;59,59;27,46
2020-04-30;25,16;27,78;52,78;24,91
2020-05-31;26,68;24,72;50,88;24,37
2020-06-30;28;27,09;49,99;24,6
2020-07-31;27,75;25,77;50,34;26,01
2020-08-31;26,6;25,44;50,96;28,6
2020-09-30;26,88;24,5;51,51;28,67
2020-10-31;29,3;25,88;50,49;28,57
2020-11-30;34,13;31,65;52,62;29,4
2020-12-31;35,24;34,32;55,17;30,61
