Fecha;Tasa;Volumen;Original
2020-03-02;NA;42942883245;42942883245
2020-03-03;NA;42332825442;42332825442
2020-03-04;NA;47173862809;47173862809
2020-03-05;NA;46085868547;46085868547
2020-03-06;30,5;46026411860;224561851903
2020-03-09;30,932;45620238710;45620238710
2020-03-10;32,332;44680999430;44680999430
2020-03-11;31,632;48546844383;48546844383
2020-03-12;32,632;47564217990;47564217990
2020-03-13;31,632;45973052455;232385352968
2020-03-16;31,2;43764455191;43764455191
2020-03-17;31,1;39407937996;39407937996
2020-03-18;31,48;41983089323;41983089323
2020-03-19;31,68;40482159945;40482159945
2020-03-20;33,48;33696976858;199334619313
2020-03-25;34,28;40271364839;40271364839
2020-03-26;33,78;39551259327;39551259327
2020-03-27;34;41527134005;121349758171
2020-03-30;31;40687246983;818318829338
2020-04-01;28,9;45275874474;45275874474
2020-04-02;27,1;47483423936;47483423936
2020-04-03;25,5;49302813424;182749358817
2020-04-06;23,5;47895462925;47895462925
2020-04-07;22,7;47708853976;47708853976
2020-04-08;20,6;56365269646;151969586547
2020-04-13;18,2;57510503583;57510503583
2020-04-14;16,35;52732307056;52732307056
2020-04-15;14,45;58909081323;58909081323
2020-04-16;14,05;52743845027;52743845027
2020-04-17;13,85;40110857900;262006594889
2020-04-20;14,05;44003239146;44003239146
2020-04-21;14;43481517152;43481517152
2020-04-22;14,1;45792876865;45792876865
2020-04-23;15,1;40269720231;40269720231
2020-04-24;15,9;36611500398;210158853792
2020-04-27;16,8;36684279876;36684279876
2020-04-28;17,71;27608355354;27608355354
2020-04-29;18,41;28902892851;28902892851
2020-04-30;18,21;28030834129;887423509272
2020-05-04;18,38;33545745854;33545745854
2020-05-05;17,08;30579262142;30579262142
2020-05-06;17,67;32370649802;32370649802
2020-05-07;16,37;29747819885;29747819885
2020-05-08;16,67;28172473328;154415951011
2020-05-11;17;33806722361;33806722361
2020-05-12;18,76;31423003480;31423003480
2020-05-13;18,56;33253656589;33253656589
2020-05-14;19,36;31951170789;31951170789
2020-05-15;19,46;31279475078;161714028297
2020-05-18;20,51;36367088653;36367088653
2020-05-19;20,95;35737819194;35737819194
2020-05-20;20,95;38862605248;38862605248
2020-05-21;22,95;39429778355;39429778355
2020-05-22;24,35;41394817166;191792108616
2020-05-26;23,9;45540077502;45540077502
2020-05-27;24,8;44338082137;44338082137
2020-05-28;25,8;43191876132;43191876132
2020-05-29;25,8;41042039738;682034163433
2020-06-01;25,9;37076093433;37076093433
2020-06-02;27;41456233738;41456233738
2020-06-03;27,5;39960515591;39960515591
2020-06-04;28,5;38506679479;38506679479
2020-06-05;29;38288380080;195287902321
2020-06-08;28,7;35915719867;35915719867
2020-06-09;26,5;42808166085;42808166085
2020-06-10;25,3;40994086271;40994086271
2020-06-11;24,7;39908711016;39908711016
2020-06-12;24,6;40693216153;200319899392
2020-06-16;24,598;44093733884;44093733884
2020-06-17;25,3;40438851938;40438851938
2020-06-18;25,7;38840312554;38840312554
2020-06-19;24,8;39320907653;162693806029
2020-06-22;23,6;36435493584;36435493584
2020-06-23;22,402;39324372975;39324372975
2020-06-24;22,5;37710263160;37710263160
2020-06-25;21,7;37106897217;37106897217
2020-06-26;22,1;38802062206;189379089142
2020-06-29;22,6;40370339707;40370339707
2020-06-30;23,002;43749687182;831800723773
2020-07-01;22,602;40335903223;40335903223
2020-07-02;23,002;38445190830;38445190830
2020-07-03;22,502;39327806215;202228927157
2020-07-06;22,302;38691316232;38691316232
2020-07-07;23,7;41322984987;41322984987
2020-07-08;23,9;40394680033;120408981252
2020-07-13;23,35;41330294118;41330294118
2020-07-14;23,75;41072515739;41072515739
2020-07-15;23,25;40558813161;40558813161
2020-07-16;22,05;42580825949;42580825949
2020-07-17;22,65;39856836219;205399285186
2020-07-20;23,4;43735010147;43735010147
2020-07-21;23,6;45253824767;45253824767
2020-07-22;24,6;44811407308;44811407308
2020-07-23;24,8;42306150216;42306150216
2020-07-24;23,8;43056565309;219162957747
2020-07-27;23,6;44932857480;44932857480
2020-07-28;23;44973851929;44973851929
2020-07-29;23;44951506171;44951506171
2020-07-30;23,6;44040211001;44040211001
2020-07-31;24,4;42292579319;884271130353
2020-08-03;24,4;42231730746;42231730746
2020-08-04;24,2;43705066644;43705066644
2020-08-05;24,1;43303532633;43303532633
2020-08-06;23,5;41832773910;41832773910
2020-08-07;23,4;42557494150;213630598083
2020-08-10;23,6;43436245749;43436245749
2020-08-11;24,08;45755971728;45755971728
2020-08-12;23,18;48497000348;48497000348
2020-08-13;22,38;48355735339;48355735339
2020-08-14;23,08;45750457809;231795410973
2020-08-18;23,48;50499214310;50499214310
2020-08-19;24;46142177526;46142177526
2020-08-20;25,2;47422897808;47422897808
2020-08-21;26;45786085271;189850374915
2020-08-24;25,6;45873961213;45873961213
2020-08-25;25,5;51927345334;51927345334
2020-08-26;25,5;49679706899;49679706899
2020-08-27;25,5;48646681038;48646681038
2020-08-28;25,8;50666231976;246793926460
2020-08-31;25,8;50222646663;932292957094
2020-09-01;25,7;53345635989;53345635989
2020-09-02;25,5;51238290023;51238290023
2020-09-03;25,5;51284280130;51284280130
2020-09-04;25,5;50989781487;257080634292
2020-09-07;25,85;51351041299;51351041299
2020-09-08;26,05;54413518287;54413518287
2020-09-09;25,05;53405596103;53405596103
2020-09-10;25,45;50125850937;50125850937
2020-09-11;25,95;47990905036;257286911662
2020-09-14;26,1;46408693201;46408693201
2020-09-15;25,1;52225412143;52225412143
2020-09-16;26,5;49942366369;49942366369
2020-09-17;26,7;48390746785;48390746785
2020-09-18;26,1;46166531419;243133749917
2020-09-21;25,8;46246270555;46246270555
2020-09-22;26,8;50120577782;50120577782
2020-09-23;26,4;50129415203;50129415203
2020-09-24;25,6;49294655346;49294655346
2020-09-25;25,9;48945891350;244736810236
2020-09-28;26,3;47815296503;47815296503
2020-09-29;26,1;51451479427;51451479427
2020-09-30;26,2;51569598349;1102851833723
2020-10-01;26,4;49064045044;49064045044
2020-10-02;26,4;49294317135;249194736458
2020-10-05;25,8;49299094146;49299094146
2020-10-06;25,95;51168428973;51168428973
2020-10-07;26,36;54605391887;54605391887
2020-10-08;26,96;54503675798;54503675798
2020-10-09;26,96;53701955369;263278546173
2020-10-13;28,16;56848987595;56848987595
2020-10-14;30,01;57063069768;57063069768
2020-10-15;30,9;56406764636;56406764636
2020-10-16;31,9;53177870654;223496692653
2020-10-19;33,5;51225174904;51225174904
2020-10-20;34,098;54200478719;54200478719
2020-10-21;33,698;52051930280;52051930280
2020-10-22;34,098;50020231228;50020231228
2020-10-23;33,298;50405759525;257903574656
2020-10-26;33,398;46813358647;46813358647
2020-10-27;33,2;49148337138;49148337138
2020-10-28;33,3;55237275716;55237275716
2020-10-29;33,1;55188405173;55188405173
2020-10-30;33,5;55072645126;1104497197461
2020-11-02;33,36;54058676116;54058676116
2020-11-03;33,26;54621583487;54621583487
2020-11-04;33,08;53689005708;53689005708
2020-11-05;32,48;55768517213;55768517213
2020-11-06;32,08;0;218137782524
2020-11-09;31,918;59509352636;59509352636
2020-11-10;31,818;54366827162;54366827162
2020-11-11;31,598;55865955646;55865955646
2020-11-12;32,198;56730141231;56730141231
2020-11-13;33,298;56149776401;282622053076
2020-11-16;32,4;55434211915;55434211915
2020-11-17;31,8;55004192169;55004192169
2020-11-18;31;57318702910;57318702910
2020-11-19;30,5;56283915154;56283915154
2020-11-20;30,4;54627982370;278669004518
2020-11-24;30,2;65120014753;65120014753
2020-11-25;30,95;64931474654;64931474654
2020-11-26;32,25;62508241129;62508241129
2020-11-27;33,45;58390774007;250950504543
2020-11-30;33,65;58563322379;1088942667040
2020-12-01;35,24;64921676388;64921676388
2020-12-02;35,77;63314832770;63314832770
2020-12-03;35,97;62831604517;62831604517
2020-12-04;34,67;60476073297;310107509351
2020-12-09;33,47;71811328637;71811328637
2020-12-10;33,28;68147186141;68147186141
2020-12-11;33,6;66288979734;206247494512
2020-12-14;32;62920330347;62920330347
2020-12-15;33,2;61596238044;61596238044
2020-12-16;34,5;71822170375;71822170375
2020-12-17;34,3;66814889426;66814889426
2020-12-18;33,52;64632406001;327786034193
2020-12-21;34,92;65028181914;65028181914
