Fecha;Tasa;Volumen
2021-02-01;NA;68429077360
2021-02-02;NA;63593546747
2021-02-03;NA;70317769020
2021-02-04;NA;65838967334
2021-02-05;33,7;63812877844
2021-02-08;34,65;71276857533
2021-02-09;34,55;66597098655
2021-02-10;35,07;71408964589
2021-02-11;34,67;67240921873
2021-02-12;34,86;65268850108
2021-02-17;34,868;82161615015
2021-02-18;34,368;69646987546
2021-02-19;34,298;69833235701
2021-02-22;34,738;68058841469
2021-02-23;33,848;63269290441
2021-02-24;33,79;74619685379
2021-02-25;34,29;67335986175
2021-02-26;34,288;66781198646
2021-03-01;33,848;62230967248
2021-03-02;34,248;60541849342
2021-03-03;34,288;71969701083
2021-03-04;34,278;65140900284
2021-03-05;33,43;61074473202
2021-03-08;33,73;63950671557
2021-03-09;33,33;63194771779
2021-03-10;32,29;68568036016
2021-03-11;32,3;62699800455
2021-03-12;33,06;62062240620
2021-03-15;33,01;59426090506
2021-03-16;33,21;58632784040
2021-03-17;33,212;68904401588
2021-03-18;33,062;61554656021
2021-03-19;33,062;60326577660
2021-03-22;32,212;62366956125
2021-03-23;32,61;64877066986
2021-03-25;33,608;73483891371
2021-03-26;32,758;70577959605
2021-03-29;32,688;70006004866
2021-03-30;33,438;68336655566
2021-03-31;33,24;72516375112
2021-04-05;33,19;73391366956
2021-04-06;33,99;63534876195
2021-04-07;34,05;69954063049
2021-04-08;34,2;60402190860
2021-04-09;34,54;56980632941
2021-04-12;34,79;45920597621
2021-04-13;34,97;69747824813
2021-04-14;34,72;76535557694
2021-04-15;34,62;69900154068
2021-04-16;33,88;68521187496
2021-04-19;33,65;77248260837
2021-04-20;33,268;70054642646
2021-04-21;32,768;72540272687
2021-04-22;32,568;65205710464
2021-04-23;33,218;62821866069
2021-04-26;33,218;70294218950
2021-04-27;33,52;67830583377
2021-04-28;34,268;72730638434
2021-04-29;34,368;67726493745
2021-04-30;34,458;63645788468
2021-05-03;34,438;68336031238
2021-05-04;34,478;61897966494
2021-05-05;34,532;67018005402
2021-05-06;34,832;62659944016
2021-05-07;34,822;63585903189
2021-05-10;34,672;67110273199
2021-05-11;34,632;62345871920
2021-05-12;34,43;69750905309
2021-05-13;34,63;69666864480
2021-05-14;34,698;67968022944
2021-05-17;34,838;68216604211
2021-05-18;34,338;61910951951
2021-05-19;34,538;64100884465
2021-05-20;33,838;61507308958
2021-05-21;33,39;66409215542
2021-05-26;33,25;81381998194
2021-05-27;33,85;68378983198
2021-05-28;33,83;72440556806
2021-05-31;34,27;66533788708
2021-06-01;34,67;62946315023
2021-06-02;34,87;72811705177
2021-06-03;34,87;65363369356
2021-06-04;34,95;66291371532
2021-06-07;35,01;66337034769
2021-06-08;35,06;66631959850
2021-06-09;35,06;77073736434
2021-06-10;35,15;69825162326
