"Fecha";"Total";"Otros";"Prendarios";"Hipotecarios";"Adelantos";"Personales";"Documentos";"Tarjetas"
2003-12-02;1549785,9548816;147834,200346344;73388,377951014;538091,873340841;253364,844535106;135321,107755271;273118,253458026;128667,297494999
2004-01-02;1530487,50311874;143120,569154401;71823,33356324;530725,990177415;234264,302723531;145720,917985147;276226,096184063;128606,293330943
2004-02-02;1528422,82451139;145015,241847817;71237,2214135282;524801,462896757;243698,26625823;144696,204866704;269546,010142509;129428,417085842
2004-03-01;1549407,20214696;142805,587060225;70484,7451904504;516842,580960298;268962,075543792;147384,648196888;271948,527788105;130979,037407204
2004-04-01;1575056,44397695;140385,990759009;70913,1605720255;508317,343900206;286023,372424972;152901,656651389;280554,291832495;135960,627836853
2004-05-03;1599886,98600117;147397,866532227;71198,7099624089;500806,821050565;297329,705164158;156377,858668029;284983,270627305;141792,753996475
2004-06-01;1647716,13530375;154202,9691792;72263,4153716091;495920,072805649;313751,385603381;160656,391538238;299693,951343785;151227,949461889
2004-07-01;1677700,21873376;159996,223997591;73318,4572180712;492494,300728902;328584,931084814;166616,22716785;302112,871951838;154577,206584691
2004-08-02;1705266,42563765;172468,855838376;76562,9931596803;489981,490939881;332229,174265679;175660,521782778;304370,792048974;153992,597602278
2004-09-01;1736570,43227832;177351,490000336;79417,6984784727;485195,321160689;336648,034916131;189456,623920148;316733,46056275;151767,803239788
2004-10-01;1787711,1363165;181243,881771511;81575,2616666861;479832,350906354;339956,877826687;205801,311504745;342164,657487374;157136,795153144
2004-11-01;1827615,81409382;185697,483359661;85705,5706648462;477417,94744566;344282,619910395;221102,548711932;354627,299514133;158782,344487195
2004-12-01;1857556,54481628;190361,768087235;89228,2880183134;473435,002653005;344837,143168519;228137,048914897;363733,448205386;167823,845768928
2005-01-03;1849821,42759943;186905,683297254;90000,3329919153;470172,390960633;330127,293331865;239224,86148294;360898,319782988;172492,54575184
2005-02-01;1853681,11512848;183622,502895877;90943,3647212126;466080,424698723;334568,339538638;244643,047149236;357840,462945946;175982,973178847
2005-03-01;1843748,01722178;177980,410890111;90906,1044486983;454540,494391852;330150,408787754;251170,993777477;356344,749492078;182654,855433807
2005-04-01;1881796,27608944;187194,225101354;93692,6261371377;452776,574654732;337222,501143753;263942,492913102;365499,484480911;181468,371658455
2005-05-02;1927547,32038578;188034,450568229;96760,7147234139;451189,957585845;346781,997243314;277266,290452828;383550,920874736;183962,988937412
2005-06-01;1957356,2905905;187422,727206175;97554,0463485885;444607,557444826;367951,840405952;278779,607613529;392926,223654933;188114,287916494
2005-07-01;1978447,9164569;177270,60172096;97522,9038060103;437857,491079112;382976,21022532;287398,490240789;402713,535617898;192708,68376681
2005-08-01;2005635,58383433;178290,521973973;99401,5819772611;435288,334049302;384729,879630704;299614,257145109;412214,198607669;196096,810450307
2005-09-01;2032387,34306252;174777,083490603;100202,194234778;428449,899409093;380550,136648433;313550,928766873;430602,365734155;204254,734778589
2005-10-03;2085430,49844669;167827,43583136;103881,35554565;421822,239667649;394686,604837511;322651,707766708;457481,040143693;217080,114654122
2005-11-01;2143569,42693712;165005,422195803;107537,478960002;420442,011462203;411805,339478463;335184,384623228;474520,317060239;229074,473157186
2005-12-01;2215334,72747368;175342,198995515;111057,375396461;417861,749861279;413820,989520767;347311,321892032;501315,349072242;248625,742735389
2006-01-02;2239045,32798961;167562,221706779;114453,396061021;413985,174579364;396909,904173813;362872,300790984;520478,653820703;262783,676856943
2006-02-01;2263746,86368756;169339,434104257;118556,169183552;414960,873150566;401774,742307826;373774,445695192;518674,314547959;266666,884698206
