Fecha;Total;Personales;Tarjetas;Adelantos;Hipotecarios;Prendarios;Otros;Documentos
2004-01-02;1279;0;23;133;29;19;446;629
2004-01-05;1279;0;23;128;29;18;446;635
2004-01-06;1270;0;22;128;29;19;442;630
2004-01-07;1282;0;22;136;29;19;443;633
2004-01-08;1274;0;22;135;29;19;442;627
2004-01-09;1281;0;23;136;29;19;446;628
2004-01-12;1276;0;23;130;29;19;443;632
2004-01-13;1288;0;21;128;29;19;443;648
2004-01-14;1291;0;21;128;29;19;442;652
2004-01-15;1301;0;21;128;29;19;443;661
2004-01-16;1301;0;21;129;29;19;443;660
2004-01-19;1312;0;22;129;29;19;444;669
2004-01-20;1314;0;22;130;29;19;444;670
2004-01-21;1318;0;23;129;29;19;444;674
2004-01-22;1325;0;23;131;29;19;448;675
2004-01-23;1327;0;24;131;29;19;446;678
2004-01-26;1330;0;25;131;29;19;446;680
2004-01-27;1337;0;27;131;29;19;448;683
2004-01-28;1339;0;28;132;29;19;448;683
2004-01-29;1346;0;29;132;29;19;448;689
2004-01-30;1333;0;30;131;29;19;449;675
2004-02-02;1337;0;30;132;29;19;448;679
2004-02-03;1332;0;29;130;29;18;448;678
2004-02-04;1332;0;29;129;29;18;449;678
2004-02-05;1331;0;29;130;29;18;448;677
2004-02-06;1331;0;29;130;29;18;447;678
2004-02-09;1330;0;30;130;29;18;447;676
2004-02-10;1325;0;29;130;29;18;447;672
2004-02-11;1319;0;27;130;29;18;447;668
2004-02-12;1324;0;27;130;29;18;447;673
2004-02-13;1319;0;27;131;28;13;446;674
2004-02-16;1326;0;27;131;28;13;451;676
2004-02-17;1327;0;26;131;28;13;451;678
2004-02-18;1328;0;26;132;28;12;452;678
2004-02-19;1324;0;26;132;28;13;452;673
2004-02-20;1322;0;29;128;28;13;451;673
2004-02-23;1324;0;30;126;28;13;454;673
2004-02-24;1322;0;30;125;28;13;455;671
2004-02-25;1323;0;30;125;28;13;453;674
2004-02-26;1321;0;30;125;28;13;453;672
2004-02-27;1315;0;30;124;29;9;452;671
2004-03-01;1318;0;30;125;28;9;452;674
2004-03-02;1318;0;29;126;28;9;452;674
2004-03-03;1316;0;29;126;28;9;450;674
2004-03-04;1319;0;29;131;28;9;447;675
2004-03-05;1318;0;29;130;28;9;447;675
2004-03-08;1317;0;29;130;28;9;446;675
2004-03-09;1323;0;27;130;28;9;447;682
2004-03-10;1324;0;26;130;28;9;449;682
2004-03-11;1325;0;25;130;28;10;447;685
2004-03-12;1323;0;25;131;28;9;448;682
2004-03-15;1311;0;24;130;28;9;446;674
2004-03-16;1301;0;25;130;28;9;447;662
2004-03-17;1310;0;24;130;28;9;448;671
2004-03-18;1310;0;26;130;29;9;447;669
2004-03-19;1318;0;27;136;29;9;448;669
2004-03-22;1326;0;27;138;29;9;446;677
2004-03-23;1152;0;26;137;28;9;294;658
2004-03-24;1157;0;27;137;28;9;294;662
2004-03-25;1147;0;27;128;28;9;293;662
2004-03-26;1199;0;27;133;28;9;339;663
2004-03-29;1204;0;27;134;28;9;340;666
2004-03-30;1205;0;27;134;28;9;342;665
2004-03-31;1206;0;27;133;28;11;344;663
2004-04-01;1202;0;27;134;28;11;333;669
2004-04-02;1203;0;27;137;28;11;332;668
2004-04-06;1203;0;29;137;28;11;332;666
2004-04-07;1202;0;26;142;28;11;332;663
2004-04-12;1203;0;26;142;29;11;332;663
2004-04-13;1205;0;26;142;29;11;334;663
2004-04-14;1201;0;25;142;29;11;334;660
2004-04-15;1194;0;24;143;29;11;332;655
2004-04-16;1196;0;24;143;29;11;333;656
2004-04-19;1196;0;24;143;29;11;335;654
2004-04-20;1197;0;23;144;29;11;335;655
2004-04-21;1197;0;24;144;29;11;334;655
2004-04-22;1196;0;24;144;29;11;335;653
2004-04-23;1200;0;25;144;29;11;334;657
2004-04-26;1198;0;25;149;29;11;335;649
2004-04-27;1184;0;25;149;29;11;324;646
2004-04-28;1178;0;25;149;31;11;324;638
2004-04-29;1185;0;26;151;31;11;329;637
2004-04-30;1184;0;26;149;31;11;324;643
2004-05-03;1180;0;26;149;31;11;324;639
2004-05-04;1184;0;25;150;31;11;324;643
2004-05-05;1183;0;25;150;31;11;323;643
2004-05-06;1177;0;24;150;30;11;322;640
2004-05-07;1185;0;24;150;31;11;325;644
2004-05-10;1183;0;24;153;31;11;324;640
2004-05-11;1187;0;24;153;31;13;321;645
2004-05-12;1200;0;22;153;31;13;324;657
2004-05-13;1201;0;23;153;31;13;325;656
2004-05-14;1201;0;23;153;31;13;324;657
2004-05-17;1202;0;24;154;31;13;323;657
2004-05-18;1176;0;24;155;31;13;323;630
2004-05-19;1178;0;24;155;31;13;325;630
2004-05-20;1183;0;24;156;31;13;324;635
2004-05-21;1185;0;24;157;31;13;322;638
2004-05-24;1186;0;25;158;31;13;323;636
2004-05-26;1181;0;25;158;31;13;321;633
2004-05-27;1187;0;26;161;31;12;321;636
2004-05-28;1192;0;27;162;31;12;323;637
2004-05-31;1173;0;26;150;31;14;316;636
2004-06-01;1199;0;26;170;32;13;316;642
2004-06-02;1217;0;27;174;31;14;333;638
2004-06-03;1202;0;27;178;31;14;330;622
2004-06-04;1206;0;27;179;33;14;333;620
2004-06-07;1208;0;27;179;33;14;333;622
2004-06-08;1195;0;26;179;33;14;328;615
2004-06-09;1200;0;25;180;33;14;329;619
2004-06-10;1191;0;24;169;32;14;330;622
2004-06-11;1200;0;24;168;31;14;329;634
2004-06-14;1214;0;24;180;31;14;329;636
2004-06-15;1216;0;24;180;31;14;328;639
2004-06-16;1218;1;24;179;31;14;328;641
2004-06-17;1211;1;24;175;31;14;325;641
2004-06-18;1198;0;25;176;31;14;322;630
2004-06-22;1210;0;25;177;31;14;325;638
2004-06-23;1211;0;25;178;31;14;325;638
2004-06-24;1215;0;25;177;31;14;326;642
2004-06-25;1282;0;25;186;31;16;373;651
2004-06-28;1274;0;25;186;31;16;369;647
2004-06-29;1283;0;26;184;31;14;374;654
2004-06-30;1299;0;26;183;33;15;360;682
2004-07-01;1296;0;26;183;32;15;363;677
2004-07-02;1290;0;27;183;32;15;361;672
2004-07-05;1288;0;28;180;33;15;361;671
2004-07-06;1288;0;26;181;33;15;356;677
2004-07-07;1285;0;25;180;33;15;354;678
2004-07-08;1291;0;25;182;33;15;356;680
2004-07-12;1295;0;25;182;33;15;357;683
2004-07-13;1296;0;24;181;33;15;355;688
2004-07-14;1283;0;24;181;33;15;356;674
2004-07-15;1282;0;22;181;33;15;356;675
2004-07-16;1273;0;22;181;33;15;364;658
2004-07-19;1276;0;22;181;33;15;364;661
2004-07-20;1291;0;22;181;33;15;355;685
2004-07-21;1287;0;22;180;33;15;355;682
2004-07-22;1285;0;23;181;33;15;354;679
2004-07-23;1286;0;23;180;33;16;354;680
2004-07-26;1285;0;24;175;33;16;355;682
2004-07-27;1334;0;24;175;33;16;370;716
2004-07-28;1337;0;25;175;33;16;372;716
2004-07-29;1346;0;25;172;33;16;374;726
2004-07-30;1367;0;25;173;34;15;382;738
2004-08-02;1373;0;26;172;34;15;396;730
2004-08-03;1391;0;25;172;34;15;410;735
