"Fecha","Adelantos","Documentos a s/f (hasta 89 d.)","Documentos descontados (hasta 89 d.)","Personales (hasta 180 días)","Prendarios (hasta 1 año)","Tarjetas de crédito"
2019-01-31,79.13,70.45,60.82,62.98,32.66,64.63
2019-02-28,75.91,56.91,52.86,61.99,35.42,66.21
2019-03-31,74.91,61.1,50.99,61.89,37.52,65.84
2019-04-30,76.88,71.19,57.25,62.11,32.35,65.43
2019-05-31,78.21,73.35,62.12,64.21,30.19,68.14
2019-06-30,78.83,78.87,61.46,64.48,18.46,71.58
2019-07-31,78.35,67.83,57.75,63.56,22.47,75.33
2019-08-31,80.44,76.66,63.29,68.38,26.08,75.06
2019-09-30,85.93,80.12,69.14,71.86,30.04,77.63
2019-10-31,86.18,68.45,63.41,71.97,34.38,78.4
2019-11-30,83.75,65.69,59.04,68.85,26.16,82.47
2019-12-31,81.81,64.28,54.59,67.96,30.59,82.47
2020-01-31,79.78,56.4,48.02,67.58,28.48,78.02
2020-02-29,77.08,51.46,40.94,66.3,24.72,74.59
2020-03-31,73.86,38.57,37.13,64.08,30.14,57.23
2020-04-30,69.93,32.5,30.42,60.26,49.59,46.04
2020-05-31,68.88,35.53,27.9,58.72,19.55,42.58
2020-06-30,67.67,35.12,28.98,58.97,20.78,42.07
2020-07-31,64.56,36.14,27.55,56.98,27.6,42.48
2020-08-31,64.42,40.64,25.93,56.82,25.13,42.27
2020-09-30,65.76,38.68,24.78,53.92,21.52,41.71
2020-10-31,64.15,36.17,27.88,55.29,21.55,42.02
2020-11-30,63.5,42.92,32.78,58.38,22.71,42.39
2020-12-31,61.99,44.63,33.55,60.15,26.49,42.19
