Fecha;Posicion;Interes Abierto
2021-08-23;2021-08-31;775108
2021-08-23;2021-09-30;424290
2021-08-23;2021-10-31;411507
2021-08-23;2021-11-30;447787
2021-08-23;2021-12-31;195460
2021-08-23;2022-01-31;104112
2021-08-19;2021-08-31;785222
2021-08-19;2021-09-30;388925
2021-08-19;2021-10-31;399815
2021-08-19;2021-11-30;425275
2021-08-19;2021-12-31;201426
2021-08-19;2022-01-31;107523
2021-08-18;2021-08-31;791525
2021-08-18;2021-09-30;387629
2021-08-18;2021-10-31;397466
2021-08-18;2021-11-30;423964
2021-08-18;2021-12-31;201119
2021-08-18;2022-01-31;107517
2021-08-17;2021-08-31;802693
2021-08-17;2021-09-30;384154
2021-08-17;2021-10-31;398613
2021-08-17;2021-11-30;423315
2021-08-17;2021-12-31;198173
2021-08-17;2022-01-31;107822
2021-08-13;2021-08-31;813150
2021-08-13;2021-09-30;379818
2021-08-13;2021-10-31;394145
2021-08-13;2021-11-30;421872
2021-08-13;2021-12-31;198555
2021-08-13;2022-01-31;105850
2021-08-12;2021-08-31;829296
2021-08-12;2021-09-30;380441
2021-08-12;2021-10-31;381199
2021-08-12;2021-11-30;416566
2021-08-12;2021-12-31;197524
2021-08-12;2022-01-31;105726
2021-08-11;2021-08-31;828346
2021-08-11;2021-09-30;397790
2021-08-11;2021-10-31;374931
2021-08-11;2021-11-30;416117
2021-08-11;2021-12-31;200701
2021-08-11;2022-01-31;103004
2021-08-10;2021-08-31;817333
2021-08-10;2021-09-30;380013
2021-08-10;2021-10-31;376728
2021-08-10;2021-11-30;415364
2021-08-10;2021-12-31;203893
2021-08-10;2022-01-31;102633
2021-08-09;2021-08-31;824872
2021-08-09;2021-09-30;368627
2021-08-09;2021-10-31;378465
2021-08-09;2021-11-30;408235
2021-08-09;2021-12-31;209681
2021-08-09;2022-01-31;102508
2021-08-06;2021-08-31;830569
2021-08-06;2021-09-30;368679
2021-08-06;2021-10-31;374222
2021-08-06;2021-11-30;422075
2021-08-06;2021-12-31;210000
2021-08-06;2022-01-31;108919
2021-08-05;2021-08-31;827389
2021-08-05;2021-09-30;368553
2021-08-05;2021-10-31;366839
2021-08-05;2021-11-30;424209
2021-08-05;2021-12-31;209745
2021-08-05;2022-01-31;108834
2021-08-04;2021-08-31;823070
2021-08-04;2021-09-30;369860
2021-08-04;2021-10-31;363330
2021-08-04;2021-11-30;414089
2021-08-04;2021-12-31;207791
2021-08-04;2022-01-31;98079
2021-08-03;2021-08-31;809355
2021-08-03;2021-09-30;367951
2021-08-03;2021-10-31;362641
2021-08-03;2021-11-30;404673
2021-08-03;2021-12-31;194886
2021-08-03;2022-01-31;96074
2021-08-02;2021-08-31;795120
2021-08-02;2021-09-30;372964
2021-08-02;2021-10-31;382598
2021-08-02;2021-11-30;406062
2021-08-02;2021-12-31;182993
2021-08-02;2022-01-31;84147
2021-07-30;2021-08-31;786170
2021-07-30;2021-09-30;368251
2021-07-30;2021-10-31;375151
2021-07-30;2021-11-30;403431
2021-07-30;2021-12-31;176592
2021-07-30;2022-01-31;73006
2021-07-29;2021-08-31;587053
2021-07-29;2021-09-30;328040
2021-07-29;2021-10-31;357457
2021-07-29;2021-11-30;395912
2021-07-29;2021-12-31;196540
2021-07-29;2022-01-31;64548
2021-07-28;2021-08-31;515410
2021-07-28;2021-09-30;304405
2021-07-28;2021-10-31;346984
2021-07-28;2021-11-30;383301
2021-07-28;2021-12-31;195040
2021-07-28;2022-01-31;55194
2021-07-27;2021-08-31;491988
2021-07-27;2021-09-30;294386
2021-07-27;2021-10-31;345830
2021-07-27;2021-11-30;379813
2021-07-27;2021-12-31;189851
2021-07-27;2022-01-31;55514
2021-07-26;2021-08-31;448743
2021-07-26;2021-09-30;302116
2021-07-26;2021-10-31;349443
2021-07-26;2021-11-30;381700
2021-07-26;2021-12-31;189329
2021-07-26;2022-01-31;52784
2021-07-23;2021-08-31;399219
2021-07-23;2021-09-30;286266
2021-07-23;2021-10-31;349609
2021-07-23;2021-11-30;381119
2021-07-23;2021-12-31;189931
2021-07-23;2022-01-31;51723
2021-07-22;2021-08-31;398858
2021-07-22;2021-09-30;284459
2021-07-22;2021-10-31;344977
2021-07-22;2021-11-30;376141
2021-07-22;2021-12-31;188241
2021-07-22;2022-01-31;50697
2021-07-21;2021-08-31;375760
2021-07-21;2021-09-30;279409
2021-07-21;2021-10-31;324278
2021-07-21;2021-11-30;373704
2021-07-21;2021-12-31;188958
2021-07-21;2022-01-31;50466
2021-07-20;2021-08-31;370542
2021-07-20;2021-09-30;277593
2021-07-20;2021-10-31;322857
2021-07-20;2021-11-30;367274
2021-07-20;2021-12-31;188955
2021-07-20;2022-01-31;50123
2021-07-19;2021-08-31;361979
2021-07-19;2021-09-30;272229
2021-07-19;2021-10-31;318384
2021-07-19;2021-11-30;355323
2021-07-19;2021-12-31;182945
2021-07-19;2022-01-31;49818
2021-07-16;2021-08-31;359339
2021-07-16;2021-09-30;267809
2021-07-16;2021-10-31;319349
2021-07-16;2021-11-30;350337
2021-07-16;2021-12-31;182790
2021-07-16;2022-01-31;49669
