Fecha;Monto
2020-01-02;769673
2020-01-03;782716
2020-01-06;785885
2020-01-07;830305
2020-01-08;838334
2020-01-09;826883
2020-01-10;808040
2020-01-13;808779
2020-01-14;864316
2020-01-15;865466
2020-01-16;889381
2020-01-17;926622
2020-01-20;939416
2020-01-21;954316
2020-01-22;945905
2020-01-23;965504
2020-01-24;999508
2020-01-27;986195
2020-01-28;1004021
2020-01-29;1021560
2020-01-30;1039200
2020-01-31;844880
2020-02-03;880839
2020-02-04;890018
2020-02-05;927872
2020-02-06;937592
2020-02-07;936977
2020-02-10;965457
2020-02-11;1017680
2020-02-12;1056456
2020-02-13;1096136
2020-02-14;1139036
2020-02-17;1146613
2020-02-18;1151322
2020-02-19;1201250
2020-02-20;1223089
2020-02-21;1294294
2020-02-26;1259396
2020-02-27;1296102
2020-02-28;1052278
2020-03-02;1097234
2020-03-03;1086345
2020-03-04;1105424
2020-03-05;1090147
2020-03-06;1155936
2020-03-09;1256025
2020-03-10;1257240
2020-03-11;1285057
2020-03-12;1393221
2020-03-13;1462069
2020-03-16;1487442
2020-03-17;1477582
2020-03-18;1568360
2020-03-19;1667985
2020-03-20;1698096
2020-03-25;1712627
2020-03-26;1750680
2020-03-27;1771985
2020-03-30;1825841
2020-04-01;1483586
2020-04-02;1500298
2020-04-03;1566219
2020-04-06;1573254
2020-04-07;1622740
2020-04-08;1584076
2020-04-13;1681549
2020-04-14;1724521
2020-04-15;1780277
2020-04-16;1797450
2020-04-17;1774483
2020-04-20;1774217
2020-04-21;1770708
2020-04-22;1789250
2020-04-23;1814552
2020-04-24;1897505
2020-04-27;1940015
2020-04-28;1986928
2020-04-29;2080471
2020-04-30;1652247
2020-05-04;1734203
2020-05-05;1874277
2020-05-06;1916580
2020-05-07;1921468
2020-05-08;2034944
2020-05-11;2063178
2020-05-12;2066620
2020-05-13;2186213
2020-05-14;2385845
2020-05-15;2606886
2020-05-18;2748769
2020-05-19;2874490
2020-05-20;3005677
2020-05-21;3177403
2020-05-22;3343396
2020-05-26;3441397
2020-05-27;3492417
2020-05-28;3599804
2020-05-29;3339642
2020-06-01;3396158
2020-06-02;3445389
2020-06-03;3452405
2020-06-04;3502031
2020-06-05;3563376
2020-06-08;3645464
2020-06-09;3663121
2020-06-10;3730583
2020-06-11;3774562
2020-06-12;3783590
2020-06-16;3782861
2020-06-17;3891386
2020-06-18;3998263
2020-06-19;4054456
2020-06-22;4091907
2020-06-23;4141033
2020-06-24;4173124
2020-06-25;4245280
2020-06-26;4320087
2020-06-29;4410724
2020-06-30;3838976
2020-07-01;3893131
2020-07-02;3944150
2020-07-03;3966421
2020-07-06;3976620
2020-07-07;3981596
2020-07-08;4008329
2020-07-13;4007303
2020-07-14;4061160
2020-07-15;4053419
2020-07-16;4136428
2020-07-17;4181189
2020-07-20;4239841
2020-07-21;4292025
2020-07-22;4352200
2020-07-23;4369577
2020-07-24;4395784
2020-07-27;4439146
2020-07-28;4520725
2020-07-29;4612074
2020-07-30;4626592
2020-07-31;3694739
2020-08-03;3877512
2020-08-04;4005398
2020-08-05;4079539
2020-08-06;4283696
2020-08-07;4518152
2020-08-10;4513026
2020-08-11;4528429
2020-08-12;4627541
2020-08-13;4609496
2020-08-14;4858365
2020-08-18;4893522
2020-08-19;4973135
2020-08-20;5035403
2020-08-21;5113507
2020-08-24;5149833
2020-08-25;5213823
2020-08-26;5245744
2020-08-27;5384420
2020-08-28;5495939
2020-08-31;4272578
2020-09-01;4388538
2020-09-02;4461879
2020-09-03;4481905
2020-09-04;4574586
2020-09-07;4642300
2020-09-08;4660281
2020-09-09;4529831
2020-09-10;4527691
2020-09-11;4590302
2020-09-14;4661135
2020-09-15;4740758
2020-09-16;4737249
2020-09-17;4773792
2020-09-18;4796967
2020-09-21;4831172
2020-09-22;4915012
2020-09-23;5054001
2020-09-24;5227003
2020-09-25;5322658
2020-09-28;5380424
2020-09-29;5492315
2020-09-30;4544114
2020-10-01;4598635
2020-10-02;4810298
2020-10-05;4926377
2020-10-06;4990619
2020-10-07;5024714
2020-10-08;5053289
2020-10-09;5355626
2020-10-13;5419012
2020-10-14;5479920
2020-10-15;5591773
2020-10-16;5671791
2020-10-19;5732731
2020-10-20;5772203
2020-10-21;5967916
2020-10-22;6251771
2020-10-23;6353045
2020-10-26;6399397
2020-10-27;6477757
2020-10-28;6517236
2020-10-29;6610080
2020-10-30;4736490
2020-11-02;4782124
2020-11-03;4786346
2020-11-04;4759323
2020-11-05;4799198
2020-11-06;4799158
2020-11-09;4788181
2020-11-10;4862520
2020-11-11;4897555
2020-11-12;4989068
2020-11-13;5039576
2020-11-16;5109753
2020-11-17;5122376
2020-11-18;5159200
2020-11-19;5204574
2020-11-20;5232424
2020-11-24;5317791
2020-11-25;5321074
2020-11-26;5294196
2020-11-27;5214124
2020-11-30;3982108
2020-12-01;4057721
2020-12-02;4140475
2020-12-03;4211214
2020-12-04;4287873
2020-12-09;4395429
2020-12-10;4418412
2020-12-11;4482340
2020-12-14;4490367
2020-12-15;4506748
2020-12-16;4488035
2020-12-17;4490627
2020-12-18;4509787
2020-12-21;4567628
2020-12-22;4697874
2020-12-23;4757782
2020-12-28;4887762
2020-12-29;5043542
2020-12-30;3901528
2021-01-04;3920092
2021-01-05;3959376
2021-01-06;4023704
2021-01-07;4016802
2021-01-08;4109757
2021-01-11;4164787
2021-01-12;4253069
2021-01-13;4288739
2021-01-14;4296326
2021-01-15;4347048
2021-01-18;4375598
2021-01-19;4377446
2021-01-20;4347156
2021-01-21;4396858
2021-01-22;4386154
2021-01-25;4420708
2021-01-26;4526380
2021-01-27;4578796
2021-01-28;4815948
2021-01-29;3208467
2021-02-01;3354953
2021-02-02;3378064
2021-02-03;3475107
2021-02-04;3504102
2021-02-05;3570574
2021-02-08;3591340
2021-02-09;3620999
2021-02-10;3641607
2021-02-11;3581210
2021-02-12;3582096
2021-02-17;3572029
2021-02-18;3585967
2021-02-19;3593389
2021-02-22;3581647
2021-02-23;3594609
2021-02-24;3629850
2021-02-25;3884906
2021-02-26;2631868
2021-03-01;2691084
2021-03-02;2752481
2021-03-03;2752945
2021-03-04;2811659
2021-03-05;2821936
2021-03-08;2818481
2021-03-09;2876169
2021-03-10;2879824
2021-03-11;2886773
2021-03-12;2917796
2021-03-15;2986614
2021-03-16;3048613
2021-03-17;3026201
2021-03-18;3025530
2021-03-19;3104672
2021-03-22;3120404
2021-03-23;3161255
2021-03-25;3232682
2021-03-26;3353275
2021-03-29;3435596
2021-03-30;3549792
2021-03-31;2484843
2021-04-05;2471491
2021-04-06;2493578
2021-04-07;2509798
2021-04-08;2523741
2021-04-09;2544186
2021-04-12;2583188
2021-04-13;2603635
2021-04-14;2628774
2021-04-15;2634970
2021-04-16;2697873
2021-04-19;2707674
2021-04-20;2779587
2021-04-21;2818952
2021-04-22;2832574
2021-04-23;2896745
2021-04-26;2963727
2021-04-27;2981697
2021-04-28;3056231
2021-04-29;3074439
2021-04-30;2488679
2021-05-03;2577967
2021-05-04;2659770
2021-05-05;2718603
2021-05-06;2765877
2021-05-07;2824423
2021-05-10;2815376
2021-05-11;2742678
2021-05-12;2739894
2021-05-13;2769001
2021-05-14;2770153
2021-05-17;2785689
2021-05-18;2811859
2021-05-19;2818063
2021-05-20;2807488
2021-05-21;2804708
2021-05-26;2818174
2021-05-27;2861260
2021-05-28;2843274
2021-05-31;2265405
2021-06-01;2306097
2021-06-02;2322515
2021-06-03;2339886
2021-06-04;2345778
2021-06-07;2368480
2021-06-08;2412846
2021-06-09;2451534
2021-06-11;2482411
2021-06-14;2482568
2021-06-15;2460335
2021-06-16;2469072
2021-06-17;2502867
2021-06-18;2524069
2021-06-22;2522008
2021-06-23;2544996
2021-06-24;2562641
2021-06-25;2569014
2021-06-28;2567768
2021-06-29;2642511
2021-06-30;2276576
2021-07-01;2300856
2021-07-02;2339109
2021-07-05;2341825
2021-07-06;2349592
2021-07-07;2394593
2021-07-08;2413073
2021-07-12;2400442
2021-07-13;2402385
2021-07-14;2430786
2021-07-15;2471596
2021-07-16;2467843
2021-07-19;2479298
2021-07-20;2529105
2021-07-21;2529028
2021-07-22;2580445
2021-07-23;2581039
2021-07-26;2625082
2021-07-27;2607373
2021-07-28;2613427
2021-07-29;2685547
2021-07-30;2249784
2021-08-02;2293386
2021-08-03;2339778
2021-08-04;2383002
2021-08-05;2413661
2021-08-06;2423291
2021-08-09;2405740
2021-08-10;2411962
2021-08-11;2429522
2021-08-12;2424987
2021-08-13;2429239
2021-08-17;2431127
2021-08-18;2415483
