"Fecha","Cta. Cte. en BCRA","Circulante","<NA>"
2003-12-02,931157.084772314,1608007.57929884,2588554.43685914
2004-01-02,995420.19596574,1621623.41183298,2618287.99396252
2004-02-02,999185.412567894,1609783.62184771,2609190.82217604
2004-03-01,846788.54583832,1618498.58811125,2465320.6544406
2004-04-01,920776.035368604,1613228.74260677,2534004.77797538
2004-05-03,927627.364818732,1634721.42019976,2562348.78501849
2004-06-01,932236.266381851,1666282.49239361,2598518.75877546
2004-07-01,775710.48693041,1731060.17984363,2506770.66677404
2004-08-02,775442.103135827,1724253.69693295,2499695.80006878
2004-09-01,766714.652446614,1708152.16735538,2474866.81980199
2004-10-01,765340.457861599,1705387.03165769,2470727.48951929
2004-11-01,778703.613870511,1724543.83990896,2503247.45377947
2004-12-01,774044.995682979,1894960.58589461,2669005.58157759
2005-01-03,708539.763579251,1886937.14188165,2595476.90546091
2005-02-01,700576.694416807,1840660.0110507,2541236.70546751
2005-03-01,686388.16573442,1838389.9264037,2524778.09213811
2005-04-01,671767.455497187,1845329.00958102,2517096.46507821
2005-05-02,681100.02308067,1874314.19672588,2555414.21980655
2005-06-01,641061.497563571,1920774.91155812,2561836.40912169
2005-07-01,674056.030824657,2002711.86534893,2676767.89617358
2005-08-01,640044.355964054,2012761.54275818,2652805.89872224
2005-09-01,560280.337606244,2008305.16991132,2568585.50751756
2005-10-03,615493.269352771,2036362.42633145,2651855.69568422
2005-11-01,601595.361772438,2048586.53256774,2650181.89434018
2005-12-01,457383.550307717,2163460.18146401,2620843.73177173
2006-01-02,563977.053611101,2179654.16031407,2743631.21392517
2006-02-01,542464.900850574,2148272.18329089,2690737.08414147
2006-03-01,541277.901686246,2124096.88224953,2665374.78393578
2006-04-03,588733.759400325,2133537.66011538,2722271.41951571
2006-05-02,616353.617748785,2135748.83965166,2752102.45740044
2006-06-01,629049.813843067,2180142.15554917,2809191.96939223
2006-07-03,644689.249918567,2263087.81905351,2907777.06897208
2006-08-01,727063.792032978,2254650.62548672,2981714.4175197
2006-09-01,808057.983033975,2238452.70202885,3046510.68506282
2006-10-02,805313.679652257,2248907.13140262,3054220.81105488
2006-11-01,844921.472808235,2254854.44259216,3099775.9154004
2006-12-01,883482.651282798,2395316.89728219,3278799.54856498
2007-01-02,858955.286058377,2411159.97526295,3270115.26132133
2007-02-01,814818.40022719,2380373.36913484,3195191.76936203
2007-03-01,829023.640371682,2377485.76387084,3206509.40424252
2007-04-03,844457.787418245,2367537.63213528,3211995.41955353
2007-05-02,852757.264053024,2358076.28563526,3210833.54968828
2007-06-01,861113.724180782,2394480.73985996,3255594.46404074
2007-07-02,871201.804445378,2477743.97006632,3348945.7745117
2007-08-01,856480.875547717,2424051.51744079,3280532.3929885
2007-09-03,844543.526563359,2361980.90013576,3206524.42669912
2007-10-01,813003.680615665,2336803.86758063,3149807.54819629
2007-11-01,846965.256348991,2328452.99886873,3175418.25521772
2007-12-03,914950.283083728,2458065.76249177,3373016.0455755
2008-01-02,886976.369078324,2471307.9750574,3358284.34413572
2008-02-01,822169.173971078,2388724.08726163,3210893.26123431
2008-03-03,834035.390979647,2337307.2699969,3171342.66097654
2008-04-01,819857.163312598,2272010.32445866,3091867.48777125
2008-05-02,812008.924735532,2263898.62735284,3075907.55208837
2008-06-02,830010.634691179,2251173.24807928,3081183.88277046
2008-07-01,770180.097559738,2256091.22215066,3026271.3197104
2008-08-01,775699.598082683,2208821.39364817,2984520.99173085
2008-09-01,808423.521771658,2166679.20416948,2975102.72594114
2008-10-01,814993.104714273,2153781.65132438,2968774.75603866
2008-11-03,762682.345323638,2133220.59949191,2895902.94481555
2008-12-01,735832.237740206,2275607.72823465,3011439.96597486
2009-01-02,674394.361274789,2265349.63752042,2939743.99879521
2009-02-02,659648.841152891,2199116.9972118,2858765.8383647
2009-03-02,662665.854378451,2117647.66286131,2780313.51723976
2009-04-01,632191.309617895,2060967.5830739,2693158.89269179
2009-05-04,650210.236076666,2068730.74508719,2718940.98116386
2009-06-01,648605.315250391,2126658.10602084,2775263.42127123
2009-07-01,611453.817320203,2189369.85038717,2800823.66770737
2009-08-03,619529.759105575,2140115.29963733,2759645.05874291
2009-09-01,634105.840338743,2113395.73371929,2747501.57405804
2009-10-01,627476.338658871,2099017.28850711,2726493.62716598
2009-11-02,642061.684783893,2110991.9988671,2753053.68365099
2009-12-01,642605.583580524,2277160.36649779,2919765.95007832
2010-01-04,626032.868133076,2290564.37593422,2916597.24406729
2010-02-01,587960.063697511,2171663.4500106,2759623.51370811
2010-03-01,608513.046152458,2111797.77949845,2720310.82565091
2010-04-05,616587.116244016,2057841.34819859,2674428.46444261
2010-05-03,629229.24041716,2078916.9963191,2708146.23673626
2010-06-01,628551.341731731,2116620.38398975,2745171.72572148
2010-07-01,653426.573805024,2205047.3799399,2858473.95374492
2010-08-02,648341.951697517,2204097.23096527,2852439.18266279
2010-09-01,656271.317159472,2196759.72622463,2853031.0433841
2010-10-01,631328.425413238,2219511.5678638,2850839.99327704
2010-11-01,640304.230824946,2219948.37606129,2860252.60688623
2010-12-01,701539.930100524,2324627.11220455,3026167.04230507
2011-01-03,690281.89880858,2424639.04812627,3114920.94693485
2011-02-01,656848.986707817,2405364.09782048,3062213.0845283
2011-03-01,654163.78336211,2367387.8553725,3021551.63873461
2011-04-01,680198.908708879,2331790.00892206,3011988.91763094
2011-05-02,710046.891091388,2339783.81459857,3049830.70568996
2011-06-01,695165.585746831,2406583.34699317,3101748.93274
2011-07-01,705919.720485677,2497668.73900576,3203588.45949144
2011-08-01,700089.5611621,2499137.8223951,3199227.38355721
2011-09-01,697702.647961356,2475625.11580998,3173327.76377134
2011-10-03,700713.658251043,2446513.55355547,3147227.21180651
2011-11-01,698420.556923567,2457902.93752067,3156323.49444424
2011-12-01,717585.982642831,2614559.61957323,3332145.60221606
2012-01-03,780284.355838881,2639527.82397734,3419812.17981622
2012-02-01,613519.57349406,2584524.66540302,3198044.23889708
2012-03-01,703303.882866666,2496806.64724899,3200110.53011565
2012-04-03,722662.865848316,2460545.26021899,3183208.12606731
2012-05-02,730460.657971232,2462498.97374263,3192959.63171386
2012-06-01,756407.491462176,2573341.50530235,3329748.99676453
2012-07-02,792629.262547505,2696604.59222614,3489233.85477364
2012-08-01,808176.754526642,2697249.04901266,3505425.80347758
2012-09-03,812407.263992039,2690487.84005974,3502895.10405178
2012-10-01,809823.832123055,2684176.94750214,3494000.7796252
2012-11-01,826856.89158775,2682220.9994941,3509077.89108185
2012-12-03,878071.751870667,2839824.15821826,3717895.91008893
2013-01-02,832316.903729657,2865304.93921945,3697621.8429491
2013-02-01,773910.03917887,2802906.3401756,3576816.37935447
2013-03-01,817784.678386321,2755669.2534988,3573453.93188512
2013-04-03,822235.294727912,2694294.96811032,3516530.26283823
2013-05-02,833115.62426585,2675855.67981012,3508971.30407597
2013-06-03,836177.783353575,2722436.34346475,3558613.49186091
2013-07-01,819958.682412901,2781961.72598056,3601920.40839346
2013-08-01,812576.11307098,2769461.1639416,3582037.27701258
2013-09-02,813462.330275763,2738318.32458777,3551785.78148934
2013-10-01,806971.325768141,2718777.63020049,3525748.95596863
2013-11-01,797304.80065876,2676734.79209825,3474039.59275701
2013-12-02,858776.7526416,2758362.65704734,3617192.08558086
2014-01-02,841829.46838377,2690548.6009155,3532378.06929927
2014-02-03,671817.648552085,2482096.21921812,3153913.86777021
2014-03-05,730384.206712757,2363077.21466253,3093461.42137529
2014-04-01,721410.926449053,2306061.98732526,3027472.91377431
2014-05-05,725231.965241493,2230285.97496647,2955517.94020797
2014-06-02,730799.37425778,2273383.04285657,3004182.41711435
2014-07-01,711470.393442731,2368548.84010511,3080019.23354784
2014-08-01,709431.486392782,2357070.60240875,3066502.08880153
2014-09-01,707374.787563054,2322914.07696519,3030288.86452824
2014-10-01,713907.605288278,2306866.64980533,3020774.2550936
2014-11-03,730811.726597377,2300779.22868894,3031590.95528632
2014-12-01,783647.675524376,2459325.46394076,3242973.13946514
2015-01-02,751588.137947706,2491944.35222636,3243532.49017406
2015-02-02,739862.025677604,2434431.97546863,3174294.00114624
2015-03-02,738982.193604157,2398510.37659499,3137492.57019915
2015-04-01,723379.38644496,2370627.11455138,3094006.50099634
2015-05-04,727928.419998669,2391284.97599008,3119213.39598875
2015-06-01,741456.020921108,2465599.77320715,3207055.79412826
2015-07-01,745697.241448546,2586973.57914456,3332641.53903717
2015-08-03,741195.086520794,2595311.50039499,3336506.58691578
2015-09-01,739842.416525478,2570570.97269308,3310413.38921856
2015-10-01,748305.341059455,2583352.26399421,3331657.60505367
2015-11-02,794363.36114613,2559065.95123842,3353429.31238456
2015-12-01,930087.549548169,2620823.04208724,3550910.59163541
2016-01-04,747388.756874126,2556636.38521608,3304025.1420902
2016-02-01,560326.550105562,2435353.55595403,2995680.10605959
2016-03-01,666949.721493896,2345624.15273292,3012573.87422682
2016-04-01,628562.017071331,2222118.52615649,2850680.54322782
2016-05-02,619078.267485937,2119494.55851544,2738572.82600138
2016-06-01,728749.9564844,2093202.49408199,2821952.45056639
2016-07-01,834595.256026243,2160864.37900847,2995459.63503471
2016-08-01,836389.967852104,2189331.71143487,3025721.67928697
2016-09-01,829055.809969926,2168775.23253736,2997831.04250729
2016-10-03,820928.898181145,2157803.4853439,2978732.38352505
2016-11-01,862644.299330909,2182498.23553174,3045142.53486265
2016-12-01,942075.065952615,2359222.62116599,3301297.6871186
2017-01-02,894285.391212837,2461833.80681618,3356119.19802902
2017-02-01,912182.136589716,2428417.8715815,3340600.00817121
2017-03-01,777156.554407486,2328303.34408213,3105459.89848962
2017-04-03,786491.006862254,2261021.97329174,3047512.98015399
2017-05-02,744448.272657269,2219078.06437138,2963526.33702865
2017-06-01,772711.353746902,2263698.04706679,3036409.40081369
2017-07-03,759123.822289379,2368769.67037849,3127893.49266787
2017-08-01,754470.029046637,2358698.40895452,3113168.43800116
2017-09-01,762799.647435513,2343708.01922393,3106507.66665945
2017-10-02,743772.515757455,2362593.0018977,3106365.51765515
2017-11-01,749269.674616482,2376214.80575617,3125484.48037265
2017-12-01,808057.622604239,2478844.15078168,3286901.77338591
2018-01-02,810047.433117261,2564443.17130289,3374490.60442015
2018-02-01,809207.385618091,2478427.68709186,3287635.07270995
2018-03-01,835086.693781866,2376264.56973901,3211351.26352088
2018-04-03,840217.200823481,2286900.53324171,3127117.73406519
2018-05-02,855777.870705153,2212708.57417859,3068486.44488374
2018-06-01,928397.595362419,2147111.22853968,3075508.82390209
2018-07-02,953538.995288074,2158544.47726809,3112083.47255616
2018-08-01,1165881.55820462,2055867.28348787,3221748.84169249
2018-09-03,1305731.55397043,1915793.66941778,3221525.22338821
2018-10-01,1207132.65662136,1792700.27465946,2999832.93128082
2018-11-01,1215071.54184393,1711814.73105689,2926886.27290082
2018-12-03,1223010.23953949,1784128.05364384,3007138.29318332
2019-01-02,1127621.37482508,1836479.38733175,2964100.76215683
2019-02-01,1138458.94973434,1709040.46607462,2847499.41580896
2019-03-01,1001898.63739301,1634162.62759467,2636061.26498767
2019-04-01,1000412.98445504,1599794.97475843,2600207.95921348
2019-05-02,984722.177388966,1565954.19388225,2550676.37127122
2019-06-03,915814.03157014,1573805.96472831,2489619.99629845
2019-07-01,865395.864641117,1637524.62240491,2502920.48704603
2019-08-01,725825.126753636,1580401.99912957,2306227.1258832
2019-09-02,705742.234260093,1513535.03024361,2219277.26450371
2019-10-01,719270.69974686,1487233.09488156,2206503.79462842
2019-11-01,981636.026825631,1433194.42181941,2414830.44864504
2019-12-02,975661.365722301,1550590.14484222,2526251.51056452
2020-01-02,798230.079510257,1635323.60827667,2433553.68778693
2020-02-03,1028003.40858849,1612599.72459704,2640603.13318553
2020-03-02,1017513.00862423,1605442.68707423,2622955.69569846
2020-04-01,1097146.52660619,1792485.46326811,2889631.9898743
2020-05-04,1045950.59595372,1898593.22150698,2944543.8174607
2020-06-01,832475.539602275,1966245.27495978,2798720.81456205
2020-07-01,864693.682831043,2079559.89491663,2944253.57774768
2020-08-03,824346.202774575,2065603.57072086,2889949.77349543
2020-09-01,776396.101984641,2014614.34409851,2791010.44608315
2020-10-01,734735.26988849,1962953.13916492,2697688.40905341
2020-11-02,733790.079335405,1904744.95126204,2638535.03059744
2020-12-01,696449.090133333,1935109.24764444,2631558.33777778
2021-01-04,770733.808,1936959.804,2707693.612
2021-02-01,773238,1831140,2604378
